Player,Team,POS,ATT,YDS,TDS,REC,FL,FPTS
Will Shipley,PHI,RB81,37.4,61.8,0.4,8.3,0.1,45.1
Khalil Herbert,IND,RB82,60.4,43.8,0.2,7.7,0.0,44.2
Emanuel Wilson,GB,RB83,32.7,67.2,0.6,9.2,0.5,43.6
Elijah Mitchell,KC,RB84,60.5,40.6,0.4,7.2,0.1,43.5
Devin Neal,NO,RB85,39.1,53.1,0.4,7.2,0.1,43.2
Kendrick Bourne,NE,WR123,1.1,195.1,1.0,16.9,0.0,43.1
Zay Jones,ARI,WR124,0.0,179.9,1.3,16.8,0.1,42.5
Skyy Moore,SF,WR125,0.0,185.2,1.4,15.5,0.0,42.3
Ben Sinnott,WAS,TE52,0.0,166.7,1.4,16.8,0.1,41.8
Brock Wright,DET,TE53,0.0,134.8,2.2,15.0,0.0,41.4
Sean Tucker,TB,RB86,44.8,40.2,0.3,5.2,0.7,41.3
Cade Stover,HOU,TE54,0.0,160.6,1.2,16.9,0.0,40.2
Jahan Dotson,PHI,WR126,0.0,176.4,1.3,14.6,0.0,40.1
A.T. Perry,DEN,WR127,0.0,176.5,1.4,13.5,0.0,39.7
Jeremy Ruckert,NYJ,TE55,0.0,152.2,1.2,17.6,0.0,39.7
Kalif Raymond,DET,WR128,0.0,184.2,1.2,14.7,0.6,39.4
DJ Giddens,IND,RB87,23.6,56.4,0.1,7.6,0.0,37.9
Elijah Moore,BUF,WR129,0.0,160.1,1.2,14.5,0.0,37.9
Xavier Hutchinson,HOU,WR130,0.0,171.9,1.0,14.6,0.1,37.5
Isaiah Bond,CLE,WR131,0.0,171.9,1.1,13.8,0.0,37.4
KhaDarel Hodge,ATL,WR132,0.0,176.6,1.0,13.5,0.1,37.1
A.J. Dillon,PHI,RB88,50.1,28.6,0.1,3.6,0.0,35.9
Jalen Royals,KC,WR133,0.0,156.2,1.2,12.9,0.0,35.7
Adam Trautman,DEN,TE56,0.0,141.2,1.4,13.0,0.0,35.5
Luke Schoonmaker,DAL,TE57,0.0,132.7,1.2,14.9,0.0,35.1
Charlie Woerner,ATL,TE58,0.0,139.0,1.1,14.6,0.0,34.9
Kyle Juszczyk,SF,RB89,5.4,125.0,0.7,13.1,0.4,33.7
Russell Gage Jr.,SF,WR134,0.0,145.4,1.0,13.0,0.0,33.6
Jalin Hyatt,NYG,WR135,0.0,160.6,0.8,12.1,0.0,33.2
Daniel Bellinger,NYG,TE59,0.0,135.2,0.8,14.7,0.0,33.1
Isaac TeSlaa,DET,WR136,0.0,155.2,1.1,10.7,0.0,33.0
Julian Hill,MIA,TE60,0.0,133.7,0.9,14.7,0.4,32.9
Casey Washington,ATL,WR137,0.0,135.6,1.0,11.3,0.0,30.9
Grant Calcaterra,PHI,TE61,0.0,136.4,0.9,12.1,0.0,30.8
Jake Briningstool,KC,TE62,0.0,121.0,1.0,12.0,0.0,30.1
Johnny Mundt,JAC,TE63,0.0,115.2,0.8,13.4,0.0,30.0
Jake Bobo,SEA,WR138,0.0,132.6,0.9,11.5,0.0,29.8
Isaiah Davis,NYJ,RB90,30.7,35.7,0.1,4.9,0.0,29.4
Payne Durham,TB,TE64,0.0,109.3,1.2,11.1,0.0,29.4
Jaylin Lane,WAS,WR139,2.2,120.3,0.8,10.4,0.1,29.2
Arian Smith,NYJ,WR140,0.0,134.3,0.7,11.2,0.0,29.0
Darnell Washington,PIT,TE65,0.0,123.3,0.7,12.3,0.0,28.9
Elijah Higgins,ARI,TE66,0.0,110.3,1.1,11.4,0.0,28.8
Kimani Vidal,LAC,RB91,24.9,48.3,0.3,6.4,0.0,28.6
Brashard Smith,KC,RB92,9.9,61.7,0.5,8.3,0.0,28.1
Chris Brooks,GB,RB93,30.9,32.1,0.0,5.0,0.0,27.9
Emari Demercado,ARI,RB94,18.7,54.1,0.1,8.1,0.0,27.2
Zavier Scott,MIN,WR141,32.0,29.0,0.0,3.0,0.0,27.2
Keleki Latu,BUF,TE67,0.0,111.0,1.0,10.0,0.0,27.1
Amar Johnson,GB,RB95,35.0,26.0,0.0,2.0,0.0,27.0
Savion Williams,GB,WR142,4.4,104.8,0.8,9.1,0.0,26.5
Colby Parkinson,LAR,TE68,0.0,106.5,0.9,10.6,0.0,26.3
Clyde Edwards-Helaire,NO,RB96,36.9,42.9,0.3,5.7,0.1,26.3
Connor Heyward,PIT,TE69,0.0,87.6,1.2,10.2,0.0,25.9
Dameon Pierce,HOU,RB97,19.3,33.6,0.1,5.1,0.7,25.0
Tyler Goodson,IND,RB98,30.0,31.3,0.3,4.7,0.0,24.8
Hassan Haskins,LAC,RB99,30.8,42.2,0.5,5.3,0.3,24.7
Chris Blair,ATL,WR143,0.0,106.2,0.7,9.4,0.0,24.4
Olamide Zaccheaus,CHI,WR144,1.1,100.6,0.7,9.4,0.1,24.3
Sincere McCormick,LV,RB100,23.7,29.9,0.1,4.3,0.1,23.5
Mack Hollins,NE,WR145,0.0,102.1,0.8,8.2,0.0,23.3
Drew Sample,CIN,TE70,0.0,82.9,0.8,10.4,0.0,23.2
Ty Chandler,MIN,RB101,18.9,34.7,0.1,5.0,0.0,22.7
Drew Ogletree,IND,TE71,0.0,97.0,0.8,7.6,0.0,22.2
Tylan Wallace,BAL,WR146,0.0,87.6,0.9,6.7,0.0,20.9
Hunter Renfrow,CAR,WR147,0.0,91.4,0.4,9.3,0.0,20.8
Simi Fehoko,ARI,WR148,0.0,91.6,0.7,7.6,0.0,20.7
Jeremy McNichols,WAS,RB102,21.9,15.3,0.0,2.7,0.0,20.4
Julius Chestnut,TEN,RB103,10.4,40.2,0.2,5.5,0.0,20.4
Michael Burton,DEN,RB104,6.7,45.6,0.6,7.1,0.0,20.2
Sterling Shepard,TB,WR149,0.8,80.3,0.5,7.7,0.0,19.6
Tim Jones,MIN,WR150,0.0,83.2,0.6,7.4,0.1,19.4
Craig Reynolds,DET,RB105,8.5,55.1,0.4,6.9,0.0,19.2
Nate Adkins,DEN,TE72,0.0,54.8,1.1,7.0,0.0,19.0
Lucas Krull,DEN,TE73,0.0,79.8,0.4,8.3,0.0,18.6
Cedrick Wilson Jr.,NO,WR151,0.0,78.2,0.5,7.1,0.0,18.2
Hunter Long,JAC,TE74,0.0,76.0,0.4,8.4,0.0,18.2
Quintin Morris,JAC,TE75,0.0,71.5,0.5,7.9,0.0,18.1
Gavin Bartholomew,MIN,TE76,0.0,75.0,0.6,7.0,0.0,18.0
Brevyn Spann-Ford,DAL,TE77,0.0,69.7,0.6,7.3,0.0,18.0
Jamal Agnew,ATL,WR152,0.0,73.5,0.6,7.1,0.1,17.9
Michael Carter,ARI,RB106,9.6,45.0,0.3,6.6,0.0,17.9
Alec Ingold,MIA,RB107,8.9,44.1,0.4,6.1,0.4,17.8
Giovanni Ricci,MIN,TE78,0.0,96.0,0.0,8.0,0.0,17.6
Kalel Mullings,TEN,RB108,10.4,21.8,0.0,3.0,0.0,17.6
Teagan Quitoriano,ATL,TE79,0.0,89.0,0.5,5.5,0.0,17.4
KeAndre Lambert-Smith,LAC,WR153,0.0,77.7,0.6,5.9,0.0,17.3
Lawrence Cager,WAS,WR154,0.0,57.0,1.0,5.5,0.0,17.2
Bo Melton,GB,WR155,0.0,73.8,0.6,6.2,0.0,16.9
Tanner McLachlan,CIN,TE80,0.0,68.5,0.5,7.0,0.0,16.9
Tanner Conner,MIA,TE81,0.0,58.3,0.6,7.5,0.0,16.8
Ben Skowronek,PIT,WR156,0.0,72.1,0.5,6.5,0.0,16.8
C.J. Ham,MIN,RB109,3.0,34.8,0.1,5.3,0.0,16.6
Devin Culp,TB,TE82,0.0,65.6,0.6,6.1,0.0,16.1
Maurice Alexander,CHI,WR157,0.0,70.4,0.4,6.4,0.0,15.9
Brenden Bates,CLE,TE83,0.0,61.6,0.5,6.5,0.0,15.9
Charlie Kolar,BAL,TE84,0.0,71.7,0.4,5.7,0.0,15.6
Devontez Walker,BAL,WR158,0.0,67.3,0.6,4.9,0.0,15.6
Taysom Hill,NO,TE85,0.0,22.3,0.0,2.3,0.0,15.6
Travis Homer,CHI,RB110,21.6,25.7,0.1,3.4,0.0,15.5
Eric Saubert,SEA,TE86,0.0,59.8,0.5,6.8,0.0,15.5
Irvin Charles,NYJ,WR159,0.0,66.0,0.4,6.2,0.0,15.4
Dare Ogunbowale,HOU,RB111,6.5,42.4,0.2,5.6,0.0,15.3
John Bates,WAS,TE87,0.0,55.0,0.6,5.9,0.0,15.2
Kenny Yeboah,DET,TE88,0.0,60.5,0.5,6.0,0.0,15.0
John Metchie III,PHI,WR160,0.0,69.0,0.3,6.3,0.0,15.0
David Moore,CAR,WR161,0.0,73.4,0.3,5.9,0.0,14.9
Ian Thomas,LV,TE89,0.0,58.5,0.4,6.6,0.0,14.8
Mitchell Evans,CAR,TE90,0.0,59.4,0.4,6.3,0.0,14.5
Malik Heath,GB,WR162,0.0,62.1,0.5,5.5,0.0,14.4
George Holani,SEA,RB112,0.0,14.5,0.0,2.0,0.0,14.4
Cam Grandy,CIN,TE91,0.0,54.3,0.4,6.2,0.0,14.3
Xavier Weaver,ARI,WR163,0.0,61.4,0.5,5.2,0.0,14.2
Luke Lachey,HOU,TE92,0.0,56.0,0.5,5.5,0.0,14.1
Travis Vokolek,ARI,TE93,0.0,55.5,0.5,5.5,0.0,14.1
Stone Smartt,NYJ,TE94,0.0,66.7,0.4,5.5,0.3,13.7
Thomas Fidone II,NYG,TE95,0.0,51.5,0.5,5.5,0.0,13.7
Raheem Blackshear,CAR,RB113,23.0,21.0,0.1,2.9,0.5,13.3
Ben Sims,GB,TE96,0.0,50.5,0.5,5.0,0.0,13.1
Jared Wiley,KC,TE97,0.0,53.1,0.4,5.4,0.0,13.0
Brayden Willis,SF,TE98,0.0,54.5,0.5,4.5,0.0,13.0
Jordan Mims,TEN,RB114,15.8,15.4,0.1,2.2,0.0,12.7
Tommy Mellott,LV,WR164,4.0,43.6,0.2,3.7,0.0,12.6
Ronnie Rivers,LAR,RB115,31.7,2.3,0.0,0.3,0.0,12.5
Durham Smythe,CHI,TE99,0.0,45.9,0.3,5.4,0.0,12.1
Phil Mafah,DAL,RB116,0.0,11.0,0.0,1.5,0.0,11.8
Robert Tonyan,KC,TE100,0.0,43.0,0.3,4.7,0.0,11.0
Patrick Ricard,BAL,RB117,4.1,27.6,0.5,3.4,0.0,10.8
Jordan James,SF,RB118,18.2,12.0,0.0,1.0,0.0,10.8
Dante Pettis,NO,WR165,2.1,46.4,0.2,4.0,0.0,10.8
Israel Abanikanda,GB,RB119,13.3,10.5,0.1,1.3,0.0,10.5
Derius Davis,LAC,WR166,10.5,31.2,0.1,2.8,0.6,10.4
Tez Johnson,TB,WR167,0.0,49.3,0.2,4.0,0.0,10.3
Kendric Pryor,CIN,WR168,0.0,42.8,0.3,3.9,0.0,10.2
Deuce Vaughn,DAL,RB120,8.9,21.6,0.1,3.2,0.0,10.1
Luke Farrell,SF,TE101,0.0,43.5,0.2,4.5,0.0,9.9
Jonathan Mingo,DAL,WR169,0.0,48.6,0.2,3.9,0.0,9.8
Tyquan Thornton,KC,WR170,0.0,45.9,0.3,3.4,0.0,9.8
Frank Gore Jr.,BUF,RB121,10.2,15.0,0.1,2.0,0.0,9.7
Trishton Jackson,ARI,WR171,0.0,40.7,0.3,3.4,0.0,9.5
Tip Reiman,ARI,TE102,0.0,43.0,0.1,4.4,0.0,9.4
Gary Brightwell,CIN,RB122,8.0,17.1,0.1,2.4,0.0,9.3
Davis Allen,LAR,TE103,0.0,38.4,0.2,4.1,0.0,9.1
Xavier Gipson,NYJ,WR172,0.0,54.3,0.0,4.2,0.5,9.1
Justin Watson,HOU,WR173,0.0,45.1,0.2,3.4,0.0,9.1
Irv Smith Jr.,HOU,TE104,0.0,33.8,0.3,4.0,0.0,9.0
LeQuint Allen Jr.,JAC,RB123,4.0,11.0,0.0,1.5,0.0,8.8
Charlie Jones,CIN,WR174,0.0,39.6,0.2,3.4,0.0,8.8
Hunter Luepke,DAL,RB124,4.2,26.7,0.1,3.9,0.0,8.7
Will Mallory,IND,TE105,0.0,34.8,0.3,3.5,0.0,8.7
Jordan Watkins,SF,WR175,4.4,32.7,0.1,2.6,0.0,8.6
Bryce Oliver,TEN,WR176,0.0,38.2,0.2,3.4,0.0,8.5
Mo Alie-Cox,IND,TE106,0.0,37.2,0.2,3.4,0.0,8.5
Austin Trammell,JAC,WR177,0.0,40.1,0.2,3.4,0.0,8.3
Cody White,SEA,WR178,0.0,37.6,0.2,3.3,0.0,8.3
Dareke Young,SEA,WR179,0.0,37.7,0.2,3.3,0.0,8.3
David Bell,CLE,WR180,0.0,42.0,0.0,4.0,0.0,8.2
Miles Boykin,CHI,WR181,0.0,37.0,0.2,3.2,0.0,7.9
Eric Gray,NYG,RB125,11.9,14.4,0.1,1.9,0.5,7.9
Dee Eskridge,MIA,WR182,0.0,32.8,0.2,3.0,0.0,7.7
DeeJay Dallas,ARI,RB126,5.8,21.4,0.1,3.1,0.5,7.6
Devin Duvernay,CHI,WR183,0.0,35.2,0.2,3.6,0.5,7.5
Brycen Tremayne,CAR,WR184,0.0,33.8,0.2,3.0,0.0,7.4
Tucker Fisk,LAC,TE107,0.0,31.8,0.2,3.3,0.0,7.4
Kylen Granson,PHI,TE108,0.0,33.3,0.2,3.0,0.0,7.4
Scotty Miller,PIT,WR185,0.0,37.4,0.1,3.1,0.0,7.3
Jashaun Corbin,ATL,RB127,9.3,10.6,0.0,1.5,0.0,7.2
Tyler Scott,CHI,WR186,0.0,30.1,0.1,2.8,0.0,6.8
Britain Covey,LAR,WR187,2.2,21.0,0.1,1.8,0.0,6.6
Tanner Hudson,CIN,TE109,0.0,26.7,0.2,3.0,0.0,6.6
Nick Nash,ATL,WR188,0.0,35.0,0.0,3.0,0.0,6.5
Rasheen Ali,BAL,RB128,5.2,10.2,0.1,1.4,0.0,6.5
Jackson Hawes,BUF,TE110,0.0,29.8,0.1,2.9,0.0,6.3
Ryan Flournoy,DAL,WR189,0.0,25.6,0.2,2.4,0.0,5.9
Mitchell Tinsley,CIN,WR190,0.0,28.8,0.1,2.5,0.0,5.9
Zonovan Knight,ARI,RB129,2.4,15.3,0.1,2.1,0.0,5.7
Trey Sermon,PIT,RB130,5.0,11.5,0.1,1.6,0.0,5.6
Erick All Jr.,CIN,TE111,0.0,20.8,0.2,2.4,0.0,5.5
Velus Jones Jr.,NO,WR191,2.4,13.7,0.1,2.0,0.0,5.4
Terrell Jennings,NE,RB131,2.4,14.5,0.1,1.9,0.0,5.2
Jack Stoll,NO,TE112,0.0,23.7,0.0,2.5,0.0,5.1
Zach Davidson,BUF,TE113,0.0,19.1,0.2,1.9,0.0,4.8
Anthony Gould,IND,WR192,0.0,22.8,0.1,1.8,0.0,4.6
David Martin-Robinson,TEN,TE114,0.0,18.6,0.1,1.9,0.0,4.5
Blake Whiteheart,CLE,TE115,0.0,18.5,0.1,2.0,0.0,4.5
Tank Dell,HOU,WR193,0.0,24.0,0.0,2.0,0.0,4.4
Isaiah Neyor,GB,WR194,0.0,24.0,0.0,2.0,0.0,4.4
Feleipe Franks,ATL,QB1,0.0,17.7,0.1,1.8,0.0,4.3
Trent Sherfield Sr.,DEN,WR195,0.0,20.9,0.1,1.8,0.0,4.3
Ashton Dulin,IND,WR196,0.0,19.5,0.1,1.7,0.0,4.3
Isaiah Williams,CIN,WR197,0.0,18.8,0.1,1.6,0.0,4.2
Chris Manhertz,NYG,TE116,0.0,18.4,0.1,1.9,0.0,4.1
James Mitchell,CAR,TE117,0.0,17.8,0.1,1.8,0.0,4.1
Steven Sims Jr.,SEA,WR198,0.0,17.0,0.1,1.7,0.0,4.0
Scott Matlock,LAC,DT1,0.0,14.7,0.1,2.2,0.0,4.0
Jacob Cowing,SF,WR199,0.0,14.9,0.1,1.1,0.0,3.9
Dylan Laube,LV,RB132,0.0,11.0,0.0,1.5,0.0,3.6
Jimmy Horn Jr.,CAR,WR200,0.0,18.0,0.0,1.5,0.0,3.3
Raheim Sanders,LAC,RB133,0.0,7.5,0.0,1.0,0.0,2.8
Avery Williams,PHI,RB134,1.4,10.9,0.1,1.6,0.5,2.6
Jason Brownlee,KC,WR201,0.0,14.0,0.0,1.0,0.0,2.4
Carlos Washington Jr.,ATL,RB135,0.0,3.5,0.0,0.5,0.0,2.4
Trayveon Williams,CLE,RB136,1.2,7.0,0.0,1.0,0.0,2.3
Braxton Berrios,HOU,WR202,0.0,10.5,0.0,1.0,0.0,2.3
Chris Moore,WAS,WR203,0.0,13.0,0.0,1.0,0.0,2.3
LaJohntay Wester,BAL,WR204,0.0,12.0,0.0,1.0,0.0,2.2
Nick Vannett,MIN,TE118,0.0,10.0,0.0,1.0,0.0,2.0
Tyler Badie,DEN,RB137,0.0,3.5,0.0,0.5,0.0,1.9
Ihmir Smith-Marsette,NYG,WR205,0.0,9.5,0.1,0.8,0.5,1.4
Xavier Smith,LAR,WR206,0.0,11.0,0.0,1.0,0.5,1.4
Sione Vaki,DET,RB138,0.0,3.5,0.0,0.5,0.0,1.3
JaMycal Hasty,NE,RB139,0.0,3.5,0.0,0.5,0.0,1.3
Nikko Remigio,KC,WR207,0.0,6.5,0.0,0.5,0.0,1.2
Harrison Bryant,HOU,TE119,0.0,5.5,0.0,0.5,0.0,1.1
Keilan Robinson,PHI,RB140,0.0,3.5,0.0,0.5,0.0,1.1
D'Ernest Johnson,BAL,RB141,0.0,3.0,0.0,0.5,0.0,1.0
Trenton Irwin,JAC,WR208,0.0,0.0,0.0,0.0,0.0,0.5
Mason Kinsey,TEN,WR209,0.0,0.0,0.0,0.0,0.0,0.0
Laquon Treadwell,IND,WR210,0.0,0.0,0.0,0.0,0.0,0.0
River Cracraft,WAS,WR211,0.0,0.0,0.0,0.0,0.0,0.0
Trent Taylor,SF,WR212,0.0,0.0,0.0,0.0,0.0,0.0
Keith Kirkwood,BAL,WR213,0.0,0.0,0.0,0.0,0.0,0.0
Tyree Jackson,WAS,TE120,0.0,0.0,0.0,0.0,0.0,0.0
Stephen Carlson,CHI,TE121,0.0,0.0,0.0,0.0,0.0,0.0
Josiah Deguara,ARI,TE122,0.0,0.0,0.0,0.0,0.0,0.0
Albert Okwuegbunam Jr.,LV,TE123,0.0,0.0,0.0,0.0,0.0,0.0
Sean McKeon,IND,TE124,0.0,0.0,0.0,0.0,0.0,0.0
Shane Zylstra,DET,TE125,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Mabry,CAR,TE126,0.0,0.0,0.0,0.0,0.0,0.0
Ko Kieft,TB,TE127,0.0,0.0,0.0,0.0,0.0,0.0
Cole Turner,WAS,TE128,0.0,0.0,0.0,0.0,0.0,0.0
John FitzPatrick,GB,TE129,0.0,0.0,0.0,0.0,0.0,0.0
Jake Tonges,SF,TE130,0.0,0.0,0.0,0.0,0.0,0.0
Cameron Latu,PHI,TE131,0.0,0.0,0.0,0.0,0.0,0.0
Justin Shorter,LV,WR214,0.0,0.0,0.0,0.0,0.0,0.0
Princeton Fant,DAL,TE132,0.0,0.0,0.0,0.0,0.0,0.0
Colson Yankoff,WAS,TE133,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Odukoya,TEN,TE134,0.0,0.0,0.0,0.0,0.0,0.0
Baylor Cupp,BAL,TE135,0.0,0.0,0.0,0.0,0.0,0.0
Jack Westover,NE,TE136,0.0,0.0,0.0,0.0,0.0,0.0
Caleb Lohner,DEN,TE137,0.0,0.0,0.0,0.0,0.0,0.0
Moliki Matavao,NO,TE138,0.0,0.0,0.0,0.0,0.0,0.0
Mitchell Wilcox,MIA,TE139,0.0,0.0,0.0,0.0,0.0,0.0
Myles Gaskin,BAL,RB142,0.0,0.0,0.0,0.0,0.0,0.0
Nyheim Miller-Hines,LAC,RB143,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Beck,NYJ,TE140,0.0,0.0,0.0,0.0,0.0,0.0
Salvon Ahmed,IND,RB144,0.0,0.0,0.0,0.0,0.0,0.0
Reggie Gilliam,BUF,RB145,0.0,0.0,0.0,0.0,0.0,0.0
Jermar Jefferson,TEN,RB146,0.0,0.0,0.0,0.0,0.0,0.0
Demetric Felton Jr.,WAS,RB147,0.0,0.0,0.0,0.0,0.0,0.0
Kene Nwangwu,NYJ,RB148,0.0,0.0,0.0,0.0,0.0,0.0
Jaret Patterson,LAC,RB149,0.0,0.0,0.0,0.0,0.0,0.0
Deon Jackson,DET,RB150,0.0,0.0,0.0,0.0,0.0,0.0
Adam Prentice,DEN,RB151,0.0,0.0,0.0,0.0,0.0,0.0
Tyrion Davis-Price,GB,RB152,0.0,0.0,0.0,0.0,0.0,0.0
Keaontay Ingram,KC,RB153,0.0,0.0,0.0,0.0,0.0,0.0
Brittain Brown,CHI,RB154,0.0,0.0,0.0,0.0,0.0,0.0
Malik Davis,DAL,RB155,0.0,0.0,0.0,0.0,0.0,0.0
Deneric Prince,NE,RB156,0.0,0.0,0.0,0.0,0.0,0.0
Ben VanSumeren,PHI,LB1,0.0,0.0,0.0,0.0,0.0,0.0
Brady Russell,SEA,TE141,0.0,0.0,0.0,0.0,0.0,0.0
Jonathon Brooks,CAR,RB157,0.0,0.0,0.0,0.0,0.0,0.0
Jawhar Jordan,HOU,RB158,0.0,0.0,0.0,0.0,0.0,0.0
Blake Watson,DEN,RB159,0.0,0.0,0.0,0.0,0.0,0.0
Michael Wiley,KC,RB160,0.0,0.0,0.0,0.0,0.0,0.0
British Brooks,HOU,RB161,0.0,0.0,0.0,0.0,0.0,0.0
Cody Schrader,LAR,RB162,0.0,0.0,0.0,0.0,0.0,0.0
Kendall Milton,CIN,RB163,0.0,0.0,0.0,0.0,0.0,0.0
Chris Collier,LV,RB164,0.0,0.0,0.0,0.0,0.0,0.0
Donovan Edwards,NYJ,RB165,0.0,0.0,0.0,0.0,0.0,0.0
Corey Kiner,SF,RB166,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,
,,,,,,,,
