Player,Team,REC,YDS,TDS,ATT,FL,FPTS
,,,,,,,
Ja'Marr Chase,CIN,120.7,12.7,0.0,1.6,0.6,353.0
Justin Jefferson,MIN,105.2,2.2,0.0,0.5,0.6,307.7
CeeDee Lamb,DAL,110.9,59.3,0.3,9.2,1.0,303.1
Puka Nacua,LAR,104.9,61.2,0.6,10.7,0.6,291.1
Malik Nabers,NYG,107.0,12.2,0.0,2.6,0.6,290.8
Amon-Ra St. Brown,DET,110.3,12.6,0.1,1.9,0.9,289.2
Nico Collins,HOU,92.1,1.6,0.0,0.0,0.5,275.7
Brian Thomas Jr.,JAC,91.9,24.9,0.0,3.8,0.6,274.7
Drake London,ATL,95.9,2.0,0.0,0.3,0.6,267.5
Tyreek Hill,MIA,94.2,40.7,0.1,7.2,0.6,262.5
A.J. Brown,PHI,84.9,0.0,0.0,0.0,0.9,257.6
Ladd McConkey,LAC,90.5,1.4,0.0,0.0,0.7,254.4
Tee Higgins,CIN,86.6,0.0,0.0,0.0,0.9,248.3
Mike Evans,TB,79.7,0.0,0.0,0.0,0.5,245.5
Jaxon Smith-Njigba,SEA,93.7,20.7,0.0,2.7,0.6,244.5
Davante Adams,LAR,85.2,0.0,0.0,0.3,0.5,244.3
Terry McLaurin,WAS,82.8,4.8,0.0,1.1,0.9,240.0
Garrett Wilson,NYJ,90.5,13.5,0.0,1.9,1.3,233.2
DK Metcalf,PIT,77.8,1.2,0.0,0.0,1.3,232.6
Marvin Harrison Jr.,ARI,78.9,3.2,0.0,0.0,1.0,231.9
DJ Moore,CHI,87.1,53.8,0.1,9.5,0.9,230.8
Zay Flowers,BAL,75.9,48.4,0.1,8.2,0.5,221.5
Xavier Worthy,KC,72.0,84.4,1.5,15.4,0.5,221.1
Courtland Sutton,DEN,76.4,0.2,0.0,0.0,0.9,220.3
DeVonta Smith,PHI,81.2,1.2,0.0,0.3,0.5,218.8
Jerry Jeudy,CLE,82.0,4.8,0.0,0.3,0.6,216.7
Calvin Ridley,TEN,70.0,33.4,0.3,5.6,0.9,211.8
George Pickens,DAL,69.2,6.2,0.0,1.0,0.9,208.0
Jameson Williams,DET,60.8,63.4,0.8,7.4,0.5,203.9
Tetairoa McMillan,CAR,73.7,7.4,0.0,0.5,1.2,203.0
Jaylen Waddle,MIA,75.5,16.1,0.1,2.5,0.5,202.1
Jakobi Meyers,LV,78.6,8.9,0.0,1.2,0.5,199.4
Deebo Samuel Sr.,WAS,65.0,124.2,1.2,29.2,1.0,196.3
Chris Olave,NO,76.9,2.8,0.0,0.3,1.3,196.0
Stefon Diggs,NE,77.5,6.9,0.2,1.3,0.5,194.6
Michael Pittman Jr.,IND,78.4,2.0,0.0,0.3,0.9,190.9
Travis Hunter,JAC,68.5,21.7,0.1,3.8,0.8,190.0
Matthew Golden,GB,64.1,9.4,0.0,0.5,0.8,188.4
Rashee Rice,KC,70.9,4.5,0.0,1.1,0.6,188.3
Jauan Jennings,SF,66.8,10.8,0.1,2.4,0.6,186.4
Rome Odunze,CHI,65.7,8.0,0.0,1.3,0.9,185.5
Cooper Kupp,SEA,72.5,9.0,0.0,1.3,0.6,184.9
Khalil Shakir,BUF,71.9,3.0,0.0,0.3,0.6,181.8
Ricky Pearsall,SF,60.6,54.0,0.3,7.0,0.6,179.3
Jordan Addison,MIN,60.6,8.9,0.2,0.9,0.4,176.4
Rashid Shaheed,NO,58.0,47.2,0.1,7.7,1.3,176.4
Chris Godwin Jr.,TB,67.4,7.9,0.0,1.2,0.6,175.7
Emeka Egbuka,TB,62.5,11.5,0.0,1.6,1.1,174.2
Josh Downs,IND,69.3,5.8,0.0,0.3,0.5,172.9
Jayden Reed,GB,54.9,93.5,0.7,11.8,0.9,172.4
Keon Coleman,BUF,52.4,3.8,0.0,0.3,0.5,170.8
Darnell Mooney,ATL,58.6,1.5,0.0,0.0,0.4,168.0
Marvin Mims Jr.,DEN,52.6,49.4,0.1,11.9,0.6,158.7
Adam Thielen,CAR,61.5,1.8,0.0,0.0,0.5,152.4
Wan'Dale Robinson,NYG,69.4,15.6,0.0,2.0,0.5,151.3
Cedric Tillman,CLE,57.0,0.8,0.0,0.7,0.9,150.9
Marquise Brown,KC,55.2,2.0,0.0,0.3,0.2,150.1
Keenan Allen,LAC,55.6,2.0,0.0,0.3,0.6,147.4
Rashod Bateman,BAL,45.5,0.6,0.0,0.0,0.1,147.3
Christian Kirk,HOU,54.1,4.0,0.0,0.7,0.8,144.2
Xavier Legette,CAR,54.5,28.9,0.1,6.2,0.5,141.4
Jayden Higgins,HOU,49.9,4.0,0.0,0.7,0.4,138.3
DeMario Douglas,NE,56.5,15.9,0.0,2.1,0.2,136.6
Tyler Lockett,TEN,50.8,0.0,0.0,0.0,0.1,130.1
Romeo Doubs,GB,46.2,0.5,0.0,0.0,0.5,129.6
Luther Burden III,CHI,46.0,27.2,0.4,3.6,1.1,124.1
Joshua Palmer,BUF,42.1,0.5,0.0,0.0,0.1,122.0
Brandon Aiyuk,SF,40.0,4.8,0.0,1.1,0.5,120.3
Michael Wilson,ARI,43.8,8.9,0.1,1.9,0.5,120.2
Tre' Harris,LAC,40.8,3.8,0.0,0.7,0.7,114.7
Calvin Austin III,PIT,39.6,11.8,0.1,2.3,0.5,113.2
Ray-Ray McCloud III,ATL,44.5,52.8,0.2,7.5,1.2,112.3
Dyami Brown,JAC,39.2,6.8,0.0,0.7,0.5,106.3
Alec Pierce,IND,31.3,0.0,0.0,0.0,0.1,105.8
Quentin Johnston,LAC,34.6,7.2,0.0,1.7,0.4,104.7
Darius Slayton,NYG,35.6,6.4,0.0,1.4,0.2,104.5
Tutu Atwell,LAR,39.1,20.2,0.1,4.3,0.1,104.3
Josh Reynolds,NYJ,36.4,0.0,0.0,0.0,0.1,101.6
Kyle Williams,NE,35.5,13.3,0.0,2.1,0.4,97.6
DeAndre Hopkins,BAL,32.0,0.5,0.0,0.0,0.1,96.6
Nick Westbrook-Ikhine,MIA,31.4,1.3,0.0,0.0,0.1,96.1
Jalen Tolbert,DAL,34.6,0.0,0.0,0.0,0.1,96.0
Brandin Cooks,NO,35.6,3.8,0.0,1.7,0.1,92.7
Andrei Iosivas,CIN,31.4,0.0,0.0,0.0,0.1,91.2
Jordan Whittington,LAR,34.1,13.9,0.0,1.1,0.1,89.8
Jalen Nailor,MIN,29.2,4.1,0.0,1.8,0.4,88.2
Tory Horton,SEA,33.4,8.7,0.0,1.0,0.7,87.6
Tre Tucker,LV,30.2,31.5,0.3,5.6,0.1,87.0
Jalen Coker,CAR,31.8,2.3,0.0,0.0,0.1,85.6
Troy Franklin,DEN,30.2,6.1,0.0,1.1,0.1,85.2
Noah Brown,WAS,31.8,0.0,0.0,0.0,0.1,83.6
Jack Bech,LV,31.1,2.5,0.0,0.0,0.1,83.3
Kayshon Boutte,NE,28.3,0.0,0.0,0.0,0.1,80.4
Pat Bryant,DEN,29.1,0.0,0.0,0.0,0.1,79.6
Adonai Mitchell,IND,28.4,9.5,0.1,2.9,0.4,79.1
Dontayvion Wicks,GB,26.9,1.3,0.0,0.0,0.0,79.1
Marquez Valdes-Scantling,SEA,23.9,10.4,0.1,2.7,0.0,78.7
Elic Ayomanor,TEN,29.4,5.7,0.0,0.0,0.1,77.9
Amari Cooper,LV,27.3,0.0,0.0,0.0,0.0,76.2
Curtis Samuel,BUF,27.0,29.3,0.1,6.6,0.1,72.5
Allen Lazard,NYJ,25.3,0.0,0.0,0.0,0.1,71.8
Christian Watson,GB,19.9,17.0,0.0,4.3,0.4,71.6
Greg Dortch,ARI,28.0,30.6,0.1,4.8,0.4,71.3
Dont'e Thornton Jr.,LV,25.1,2.0,0.0,0.0,0.1,69.8
Anthony Miller,BAL,25.3,0.0,0.0,0.0,0.0,68.5
Malik Washington,MIA,27.5,13.8,0.1,2.0,0.6,67.9
Van Jefferson,TEN,23.4,0.0,0.0,0.0,0.1,64.4
Roman Wilson,PIT,22.9,0.0,0.0,0.0,0.1,63.6
Devaughn Vele,NO,25.2,1.7,0.0,0.0,0.1,63.4
Parker Washington,JAC,24.7,8.5,0.0,0.0,0.1,61.0
JuJu Smith-Schuster,KC,23.1,0.0,0.0,0.0,0.1,59.1
Tim Patrick,DET,20.5,0.0,0.0,0.0,0.1,57.8
Jaylin Noel,HOU,21.6,13.0,0.0,0.0,0.0,56.2
Tai Felton,MIN,20.1,3.7,0.0,0.0,0.0,55.8
Jalen McMillan,TB,17.9,11.0,0.0,1.4,0.4,54.4
Tyler Johnson,NYJ,21.5,0.0,0.0,0.0,0.0,54.3
KaVontae Turpin,DAL,17.0,58.5,0.5,8.4,0.7,53.5
Jamari Thrash,CLE,21.0,0.0,0.0,0.0,0.2,53.2
Chimere Dike,TEN,18.4,8.9,0.0,2.1,0.1,51.2
Luke McCaffrey,WAS,19.7,1.0,0.0,0.0,0.1,49.3
Jermaine Burton,CIN,15.8,2.0,0.0,0.0,0.1,48.2
Demarcus Robinson,SF,13.9,0.8,0.0,0.0,0.0,47.3
Kendrick Bourne,NE,16.9,6.8,0.0,1.1,0.0,43.1
Zay Jones,ARI,16.8,2.0,0.0,0.0,0.1,42.5
Skyy Moore,SF,15.5,0.0,0.0,0.0,0.0,42.3
Jahan Dotson,PHI,14.6,1.7,0.0,0.0,0.0,40.1
A.T. Perry,DEN,13.5,0.0,0.0,0.0,0.0,39.7
Kalif Raymond,DET,14.7,4.0,0.0,0.0,0.6,39.4
Elijah Moore,BUF,14.5,1.3,0.0,0.0,0.0,37.9
Xavier Hutchinson,HOU,14.6,0.0,0.0,0.0,0.1,37.5
Isaiah Bond,CLE,13.8,0.0,0.0,0.0,0.0,37.4
KhaDarel Hodge,ATL,13.5,0.0,0.0,0.0,0.1,37.1
Jalen Royals,KC,12.9,2.5,0.0,0.0,0.0,35.7
Russell Gage Jr.,SF,13.0,0.0,0.0,0.0,0.0,33.6
Jalin Hyatt,NYG,12.1,0.0,0.0,0.0,0.0,33.2
Isaac TeSlaa,DET,10.7,0.0,0.0,0.0,0.0,33.0
Casey Washington,ATL,11.3,0.0,0.0,0.0,0.0,30.9
Jake Bobo,SEA,11.5,0.0,0.0,0.0,0.0,29.8
Jaylin Lane,WAS,10.4,13.5,0.1,2.2,0.1,29.2
Arian Smith,NYJ,11.2,3.5,0.0,0.0,0.0,29.0
Savion Williams,GB,9.1,16.4,0.1,4.4,0.0,26.5
Chris Blair,ATL,9.4,0.0,0.0,0.0,0.0,24.4
Olamide Zaccheaus,CHI,9.4,6.0,0.0,1.1,0.1,24.3
Mack Hollins,NE,8.2,1.7,0.0,0.0,0.0,23.3
Tylan Wallace,BAL,6.7,1.7,0.0,0.0,0.0,20.9
Hunter Renfrow,CAR,9.3,0.0,0.0,0.0,0.0,20.8
Simi Fehoko,ARI,7.6,0.0,0.0,0.0,0.0,20.7
Sterling Shepard,TB,7.7,7.0,0.0,0.8,0.0,19.6
Tim Jones,MIN,7.4,0.0,0.0,0.0,0.1,19.4
Cedrick Wilson Jr.,NO,7.1,2.0,0.0,0.0,0.0,18.2
Jamal Agnew,ATL,7.1,0.0,0.0,0.0,0.1,17.9
KeAndre Lambert-Smith,LAC,5.9,3.0,0.0,0.0,0.0,17.3
Bo Melton,GB,6.2,0.0,0.0,0.0,0.0,16.9
Ben Skowronek,PIT,6.5,0.0,0.0,0.0,0.0,16.8
Maurice Alexander,CHI,6.4,0.0,0.0,0.0,0.0,15.9
Devontez Walker,BAL,4.9,1.7,0.0,0.0,0.0,15.6
Irvin Charles,NYJ,6.2,0.0,0.0,0.0,0.0,15.4
John Metchie III,PHI,6.3,0.0,0.0,0.0,0.0,15.0
David Moore,CAR,5.9,0.0,0.0,0.0,0.0,14.9
Malik Heath,GB,5.5,0.0,0.0,0.0,0.0,14.4
Xavier Weaver,ARI,5.2,0.0,0.0,0.0,0.0,14.2
Tommy Mellott,LV,3.7,24.1,0.2,4.0,0.0,12.6
Dante Pettis,NO,4.0,9.7,0.0,2.1,0.0,10.8
Derius Davis,LAC,2.8,35.4,0.2,10.5,0.6,10.4
Tez Johnson,TB,4.0,0.0,0.0,0.0,0.0,10.3
Kendric Pryor,CIN,3.9,0.0,0.0,0.0,0.0,10.2
Jonathan Mingo,DAL,3.9,0.0,0.0,0.0,0.0,9.8
Tyquan Thornton,KC,3.4,0.0,0.0,0.0,0.0,9.8
Trishton Jackson,ARI,3.4,0.0,0.0,0.0,0.0,9.5
Xavier Gipson,NYJ,4.2,2.5,0.0,0.0,0.5,9.1
Justin Watson,HOU,3.4,0.0,0.0,0.0,0.0,9.1
Jalen Brooks,DAL,3.4,0.0,0.0,0.0,0.0,8.8
Charlie Jones,CIN,3.4,1.7,0.0,0.0,0.0,8.8
Jordan Watkins,SF,2.6,15.8,0.1,4.4,0.0,8.6
Bryce Oliver,TEN,3.4,0.0,0.0,0.0,0.0,8.5
Austin Trammell,JAC,3.4,0.0,0.0,0.0,0.0,8.3
Cody White,SEA,3.3,0.0,0.0,0.0,0.0,8.3
Dareke Young,SEA,3.3,0.0,0.0,0.0,0.0,8.3
David Bell,CLE,4.0,0.0,0.0,0.0,0.0,8.2
Miles Boykin,CHI,3.2,0.0,0.0,0.0,0.0,7.9
Dee Eskridge,MIA,3.0,1.7,0.0,0.0,0.0,7.7
Devin Duvernay,CHI,3.6,2.0,0.0,0.0,0.5,7.5
Brycen Tremayne,CAR,3.0,0.0,0.0,0.0,0.0,7.4
Scotty Miller,PIT,3.1,0.0,0.0,0.0,0.0,7.3
Tyler Scott,CHI,2.8,1.7,0.0,0.0,0.0,6.8
Britain Covey,LAR,1.8,13.7,0.1,2.2,0.0,6.6
Nick Nash,ATL,3.0,0.0,0.0,0.0,0.0,6.5
Ryan Flournoy,DAL,2.4,0.0,0.0,0.0,0.0,5.9
Mitchell Tinsley,CIN,2.5,0.0,0.0,0.0,0.0,5.9
Anthony Gould,IND,1.8,2.5,0.0,0.0,0.0,4.6
Tank Dell,HOU,2.0,0.0,0.0,0.0,0.0,4.4
Isaiah Neyor,GB,2.0,0.0,0.0,0.0,0.0,4.4
Trent Sherfield Sr.,DEN,1.8,0.0,0.0,0.0,0.0,4.3
Ashton Dulin,IND,1.7,1.7,0.0,0.0,0.0,4.3
Isaiah Williams,CIN,1.6,0.0,0.0,0.0,0.0,4.2
Steven Sims Jr.,SEA,1.7,0.0,0.0,0.0,0.0,4.0
Jacob Cowing,SF,1.1,8.5,0.0,0.0,0.0,3.9
Jimmy Horn Jr.,CAR,1.5,0.0,0.0,0.0,0.0,3.3
Jason Brownlee,KC,1.0,0.0,0.0,0.0,0.0,2.4
Braxton Berrios,HOU,1.0,2.5,0.0,0.0,0.0,2.3
Chris Moore,WAS,1.0,0.0,0.0,0.0,0.0,2.3
LaJohntay Wester,BAL,1.0,0.0,0.0,0.0,0.0,2.2
Ihmir Smith-Marsette,NYG,0.8,2.5,0.0,0.0,0.5,1.4
Xavier Smith,LAR,1.0,2.5,0.0,0.0,0.5,1.4
Nikko Remigio,KC,0.5,0.0,0.0,0.0,0.0,1.2
Trenton Irwin,JAC,0.0,5.0,0.0,0.0,0.0,0.5
Mason Kinsey,TEN,0.0,0.0,0.0,0.0,0.0,0.0
Laquon Treadwell,IND,0.0,0.0,0.0,0.0,0.0,0.0
River Cracraft,WAS,0.0,0.0,0.0,0.0,0.0,0.0
Trent Taylor,SF,0.0,0.0,0.0,0.0,0.0,0.0
Keith Kirkwood,BAL,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,
,,,,,,,
