Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,FL,G,FPTS,FPTS/G,ROST
1,Lamar Jackson (BAL),316,139,66.7,915,8.8,4,4,23,5,17,434.4,25.6,99.8%
2,Josh Allen (BUF),307,102,63.6,531,7.7,12,6,14,2,17,385.1,22.7,99.8%
3,Joe Burrow (CIN),460,42,70.6,201,7.5,2,9,48,5,17,381.9,22.5,99.7%
4,Baker Mayfield (TB),407,60,71.4,378,7.9,3,16,40,2,17,381.8,22.5,96.7%
5,Jayden Daniels (WAS),331,148,69.0,891,7.4,6,9,47,0,17,364.7,21.5,99.7%
6,Jared Goff (DET),390,35,72.4,56,8.6,0,12,31,0,17,336.5,19.8,83.4%
7,Bo Nix (DEN),376,92,66.3,430,6.7,4,12,24,0,17,329.1,19.4,95.2%
8,Jalen Hurts (PHI),248,150,68.7,630,8.0,14,5,38,5,15,320.0,21.3,99.7%
9,Sam Darnold (SEA),361,67,66.2,212,7.9,1,12,48,4,17,319.8,18.8,15.9%
10,Kyler Murray (ARI),372,78,68.8,572,7.1,5,11,30,4,17,308.4,18.1,91.4%
11,Patrick Mahomes II (KC),392,58,67.5,307,6.8,2,11,36,0,16,293.9,18.4,98.5%
12,Justin Herbert (LAC),332,69,65.9,306,7.7,2,3,41,2,17,288.6,17.0,86.8%
13,Geno Smith (LV),407,53,70.4,272,7.5,2,15,50,0,17,281.1,16.5,17.8%
14,Brock Purdy (SF),300,66,65.9,323,8.5,5,12,31,3,15,279.0,18.6,90.5%
15,Aaron Rodgers (PIT),368,22,63.0,107,6.7,0,11,40,2,17,267.6,15.7,14.9%
16,Caleb Williams (CHI),351,81,62.5,489,6.3,0,6,68,5,17,260.5,15.3,76.5%
17,Jordan Love (GB),268,25,63.1,83,8.0,1,11,14,0,15,244.9,16.3,68.4%
18,C.J. Stroud (HOU),336,52,63.2,233,7.0,0,12,52,4,17,232.4,13.7,71.7%
19,Matthew Stafford (LAR),340,30,65.8,41,7.3,0,8,28,2,16,222.6,13.9,28.3%
20,Bryce Young (CAR),234,43,60.9,249,6.3,6,9,29,2,14,203.8,14.6,25.0%
21,Kirk Cousins (ATL),303,23,66.9,0,7.7,0,16,28,2,14,192.3,13.7,2.4%
22,Tua Tagovailoa (MIA),291,17,72.9,49,7.2,0,7,21,2,11,188.5,17.1,28.4%
23,Drake Maye (NE),225,54,66.6,421,6.7,2,10,34,6,13,187.1,14.4,74.6%
24,Russell Wilson (NYG),214,43,63.7,155,7.4,2,5,33,4,11,177.8,16.2,7.8%
25,Anthony Richardson Sr. (IND),126,86,47.7,499,6.9,6,12,14,3,11,175.5,16.0,8.9%
26,Derek Carr (FA),189,17,67.7,71,7.7,1,5,8,0,10,156.0,15.6,1.1%
27,Trevor Lawrence (JAC),172,26,60.6,119,7.2,3,7,18,1,10,152.2,15.2,43.6%
28,Jameis Winston (NYG),181,25,61.1,83,7.2,1,12,24,2,11,143.2,13.0,1.7%
29,Daniel Jones (IND),216,67,63.3,265,6.1,2,7,29,2,10,142.3,14.2,6.9%
30,Will Levis (TEN),190,45,63.1,183,6.9,0,12,41,6,12,132.0,11.0,0.6%
31,Dak Prescott (DAL),185,13,64.7,54,6.9,1,8,21,1,8,124.5,15.6,85.3%
32,Justin Fields (NYJ),106,62,65.8,289,6.9,5,1,16,1,10,120.1,12.0,73.8%
33,Cooper Rush (BAL),187,26,60.7,18,6.0,0,5,13,3,12,114.6,9.6,0.7%
34,Gardner Minshew II (KC),203,19,66.3,58,6.6,0,10,29,4,10,106.5,10.7,0.7%
35,Joe Flacco (CLE),162,9,65.3,26,7.1,0,7,18,4,7,106.2,15.2,6.0%
36,Mason Rudolph (PIT),146,25,64.0,106,6.7,1,9,11,1,8,104.8,13.1,0.8%
37,Mac Jones (SF),171,28,65.3,92,6.4,1,8,14,2,10,104.1,10.4,0.6%
38,Aidan O'Connell (LV),154,21,63.4,30,6.6,1,4,10,2,9,97.7,10.9,1.0%
39,Drew Lock (SEA),107,18,59.1,133,5.9,2,5,12,2,7,85.1,12.2,1.9%
40,Deshaun Watson (CLE),137,31,63.4,148,5.3,1,3,33,3,7,79.6,11.4,0.7%
41,Spencer Rattler (NO),130,18,57.0,146,5.8,0,5,22,3,7,72.2,10.3,2.5%
42,Andy Dalton (CAR),106,11,66.3,34,6.2,0,6,7,0,6,64.9,10.8,0.7%
43,Tyler Huntley (FA),86,26,64.7,135,6.2,2,3,15,2,5,63.7,12.7,1.0%
44,Malik Willis (GB),40,20,74.1,138,10.2,1,0,8,1,7,51.8,7.4,0.7%
45,Michael Penix Jr. (ATL),61,7,58.1,11,7.4,1,3,4,0,5,47.2,9.4,30.5%
46,Jacoby Brissett (ARI),95,15,59.0,62,5.1,0,1,18,1,7,46.2,6.6,1.0%
47,Marcus Mariota (WAS),34,18,77.3,92,8.3,1,0,3,0,3,45.7,15.2,0.6%
48,Joshua Dobbs (NE),32,9,68.1,24,7.7,2,2,2,1,3,32.8,10.9,1.0%
49,Tanner McKee (PHI),30,5,66.7,-1,7.2,0,0,2,0,2,28.9,14.5,0.9%
50,Kenny Pickett (LV),25,9,59.5,15,6.9,1,1,4,0,5,26.1,5.2,1.3%
51,Desmond Ridder (FA),52,9,61.2,36,5.4,0,2,10,2,5,23.9,4.8,1.4%
52,Dorian Thompson-Robinson (FA),61,21,51.7,122,3.7,0,6,8,1,6,21.8,3.6,1.5%
53,Jimmy Garoppolo (LAR),27,2,65.9,5,8.1,0,1,3,0,1,20.9,20.9,0.9%
54,Tyrod Taylor (NYJ),17,3,77.3,13,5.4,0,0,0,0,2,20.0,10.0,0.6%
55,Joe Milton III (DAL),22,10,75.9,16,8.3,1,0,0,1,1,19.2,19.2,1.7%
56,Mitchell Trubisky (BUF),19,17,73.1,1,6.9,0,0,0,0,9,15.3,1.7,0.6%
57,Tim Boyle (FA),27,3,54.0,9,5.5,0,1,2,0,3,15.0,5.0,0.0%
58,Jake Haener (FA),18,11,46.2,22,5.8,0,1,6,0,8,14.3,1.8,1.1%
59,Trey Lance (LAC),25,11,61.0,41,6.5,0,1,4,0,4,13.7,3.4,0.6%
60,Tommy DeVito (FA),31,8,70.5,32,5.8,0,0,6,0,3,13.5,4.5,0.6%
61,Davis Mills (HOU),20,3,55.6,11,5.9,0,0,2,0,4,9.6,2.4,0.6%
62,Bailey Zappe (FA),16,2,51.6,2,5.5,0,2,1,0,1,9.0,9.0,1.1%
63,Brandon Allen (TEN),17,3,56.7,4,6.6,0,2,2,1,3,8.4,2.8,0.1%
64,Skylar Thompson (PIT),21,1,63.6,4,5.7,0,0,6,0,2,7.9,4.0,3.8%
65,Carson Wentz (MIN),12,3,63.2,0,6.2,0,0,4,0,2,4.7,2.4,0.7%
66,Taylor Heinicke (LAC),3,2,60.0,20,5.6,0,0,3,0,4,3.2,0.8,1.0%
67,Hendon Hooker (FA),6,5,66.7,2,6.9,0,0,1,0,3,2.7,0.9,0.6%
68,Feleipe Franks (ATL),0,0,0,0,0,0,0,0,0,9,2.2,0.2,0.0%
69,Nick Mullens (JAC),2,3,100.0,-2,19.0,0,0,0,0,4,1.4,0.4,1.0%
70,Mike White (FA),3,0,27.3,0,2.5,0,0,0,0,1,1.1,1.1,1.1%
71,Kyle Allen (DET),1,0,100.0,0,19.0,0,0,0,0,1,0.8,0.8,1.1%
72,Josh Johnson (WAS),2,4,66.7,1,5.7,0,0,1,0,4,0.7,0.2,1.0%
73,Jarrett Stidham (DEN),0,4,0,5,0,0,0,0,0,3,0.5,0.2,0.7%
74,Chris Oladokun (FA),0,1,0,5,0,0,0,1,0,1,0.5,0.5,0.0%
75,Sam Howell (PHI),5,1,35.7,2,1.7,0,1,4,0,1,0.2,0.2,0.7%
76,Malik Cunningham (BAL),0,0,0,0,0,0,0,0,0,0,0,0,1.1%
77,Emory Jones (ATL),0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
78,Jalen Milroe (SEA),0,0,0,0,0,0,0,0,0,0,0,0,3.3%
79,J.J. McCarthy (MIN),0,0,0,0,0,0,0,0,0,0,0,0,66.5%
80,Zach Wilson (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0.8%
81,Jaxson Dart (NYG),0,0,0,0,0,0,0,0,0,0,0,0,10.0%
82,Tyler Shough (NO),0,0,0,0,0,0,0,0,0,0,0,0,4.7%
83,Jason Bean (IND),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
84,John Rhys Plumlee (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
85,Kurtis Rourke (SF),0,0,0,0,0,0,0,0,0,0,0,0,1.0%
86,Shedeur Sanders (CLE),0,0,0,0,0,0,0,0,0,0,0,0,9.5%
87,Austin Reed (FA),0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
88,Will Howard (PIT),0,0,0,0,0,0,0,0,0,0,0,0,1.3%
89,Max Brosmer (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
90,Brady Cook (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,1.0%
91,Cam Miller (LV),0,0,0,0,0,0,0,0,0,0,0,0,1.0%
92,Quinn Ewers (MIA),0,0,0,0,0,0,0,0,0,0,0,0,1.0%
93,Stetson Bennett IV (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0.6%
94,Jaren Hall (FA),0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.2%
95,Dillon Gabriel (CLE),0,0,0,0,0,0,0,0,0,0,0,0,1.3%
96,Graham Mertz (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
97,Sam Hartman (FA),0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
98,Riley Leonard (IND),0,0,0,0,0,0,0,0,0,0,0,0,0.6%
99,Jordan Travis (FA),0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.6%
100,Cam Ward (TEN),0,0,0,0,0,0,0,0,0,0,0,0,35.8%
101,Sam Ehlinger (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
102,Ben Chappell (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
103,Adam Froman (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
104,Erik Ainge (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
105,Hunter Cantwell (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
106,Teddy Bridgewater (TB),0,0,0,0,0,0,0,0,0,0,0,0,0.8%
107,Case Keenum (CHI),0,0,0,0,0,0,0,0,0,0,0,0,1.0%
108,Will Grier (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
109,Jake Luton (FA),0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
110,Trevor Siemian (TEN),0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
111,Brett Smith (TB),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
112,C.J. Beathard (FA),0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
113,Jeff Driskel (FA),0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
114,Kyle Trask (FA),1,5,100.0,-4,5.0,0,0,0,0,4,-0.2,-0.1,0.6%
115,Jake Browning (CIN),0,2,0,-2,0,0,0,0,0,3,-0.2,-0.1,0.6%
116,Tyson Bagent (CHI),2,6,100.0,-7,5.5,0,0,0,0,4,-0.3,-0.1,0.6%
117,Clayton Tune (FA),2,7,100.0,-4,4.0,0,0,0,1,6,-2.1,-0.4,1.0%
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
