player,team,games,dropbacks,att,comp,drops,comDrop,yds,passYds300Games,depthAim,tds,td40s,td50s,ints,sks,ezAtt,ezTds,ezInts,ezPct,ezTdPct,rushCarries,rushYds,rushTds,rushTd40s,fumbles,rzRushCarries,rzRushTds,rzRushPct,i5RushCarries,i5RushTds,i5RushPct,patConversions,patAttempts,fantasyPts,ptsPerDb
Lamar Jackson,BLT,17,540,474,316,15,76.3,4172,2,9.4,41,6,2,4,23,41,27,0,8.6,5.7,139,915,4,1,10,20,3,14.4,1,0,0.7,1,3,442.4,0.82
Joe Burrow,CIN,17,725,652,460,27,79.6,4918,7,7.7,43,9,4,9,48,57,25,0,8.7,3.8,42,201,2,1,11,6,1,14.3,3,1,7.1,0,3,391.8,0.54
Baker Mayfield,TB,17,657,570,407,22,78.7,4500,6,7.3,41,3,2,16,40,47,25,2,8.2,4.4,60,378,3,0,13,9,3,15,2,1,3.3,1,3,383.8,0.58
Josh Allen,BUF,17,542,483,307,17,73.3,3731,3,8.8,28,4,2,6,14,31,12,1,6.4,2.5,102,531,12,0,5,32,11,31.4,11,7,10.8,1,1,380.3,0.7
Jayden Daniels,WAS,17,605,480,331,21,79.1,3568,1,7.9,25,4,2,9,47,33,21,1,6.9,4.4,148,891,6,0,5,39,6,26.4,11,4,7.4,3,4,358.8,0.59
Jalen Hurts,PHI,15,442,361,248,9,80.1,2903,1,8.4,18,4,1,5,38,30,14,3,8.3,3.9,150,630,14,0,9,49,14,32.7,19,11,12.7,0,3,330.1,0.75
Sam Darnold,MIN,17,622,545,361,19,77.2,4319,3,9.2,35,4,2,12,48,48,20,3,8.8,3.7,67,212,1,0,8,7,1,10.4,2,1,3,0,1,328,0.53
Jared Goff,DET,17,586,539,390,5,79.3,4629,6,7,37,7,6,12,31,31,15,0,5.8,2.8,35,56,0,0,6,10,0,28.6,2,0,5.7,1,1,326.8,0.56
Bo Nix,DEN,17,646,567,376,25,76.7,3775,2,7.8,29,3,2,12,24,37,18,2,6.5,3.2,92,430,4,0,2,19,4,20.7,6,4,6.5,0,1,322,0.5
Kyler Murray,ARZ,17,614,541,372,10,75.9,3851,2,7.4,21,2,1,11,30,38,15,2,7,2.8,78,572,5,2,8,13,3,16.7,1,1,1.3,1,2,314.2,0.51
Patrick Mahomes,KC,16,661,581,392,18,77.1,3928,3,6.9,26,2,1,11,36,35,15,1,6,2.6,58,307,2,0,2,10,2,17.2,1,1,1.7,0,2,292.8,0.44
Justin Herbert,LAC,17,581,504,332,28,76.9,3870,2,9,23,3,2,3,41,31,13,1,6.2,2.6,69,306,2,0,6,7,2,10.1,3,2,4.3,3,4,286.4,0.49
Brock Purdy,SF,15,537,455,300,17,74.1,3864,5,9,20,2,1,12,31,25,11,2,5.5,2.4,66,323,5,0,7,15,5,22.7,6,3,9.1,0,2,284.9,0.53
Geno Smith,SEA,17,652,578,407,14,78.4,4320,5,7.6,21,2,2,15,50,34,12,4,5.9,2.1,53,272,2,0,9,8,1,15.1,3,0,5.7,0,4,281,0.43
Aaron Rodgers,NYJ,17,643,584,368,39,73.7,3897,1,7.3,28,2,2,11,40,37,14,0,6.3,2.4,22,107,0,0,5,2,0,9.1,0,0,0,2,3,267.6,0.42
Caleb Williams,CHI,17,682,562,351,19,73.4,3541,4,8.1,20,1,0,6,68,39,12,0,6.9,2.1,81,489,0,0,10,11,0,13.6,1,0,1.2,3,10,264.5,0.39
C.J. Stroud,HST,17,622,532,336,22,72.3,3727,2,8.6,20,1,1,12,52,30,13,2,5.6,2.4,52,233,0,0,6,7,0,13.5,2,0,3.8,0,1,240.4,0.39
Jordan Love,GB,15,456,425,268,24,74.7,3389,1,9.2,25,3,2,11,14,27,12,1,6.4,2.8,25,83,1,0,4,11,1,44,2,1,8,3,3,238.9,0.52
Matthew Stafford,LA,16,549,517,340,12,73,3762,2,8,20,1,1,8,28,41,13,1,7.9,2.5,30,41,0,0,6,6,0,20,1,0,3.3,0,2,226.6,0.41
Bryce Young,CAR,14,450,384,234,15,71.6,2403,0,9,15,2,1,9,29,25,10,0,6.5,2.6,43,249,6,0,5,10,5,23.3,3,2,7,0,3,208,0.46
Kirk Cousins,ATL,14,485,453,303,13,76.7,3508,3,8,18,3,0,16,27,18,8,1,4,1.8,24,-2,0,0,13,3,0,12.5,0,0,0,0,1,196.1,0.4
Drake Maye,NE,13,422,338,225,7,74.6,2276,0,7.4,15,1,0,10,34,17,8,1,5,2.4,54,421,2,0,9,5,2,9.3,1,1,1.9,2,3,195.1,0.46
Tua Tagovailoa,MIA,11,435,399,291,14,79.8,2867,4,6.1,19,2,2,7,21,21,9,0,5.3,2.3,17,49,0,0,7,2,0,11.8,0,0,0,2,3,188.6,0.43
Russell Wilson,PIT,11,391,336,214,14,77.6,2482,1,8.4,16,0,0,5,33,24,10,2,7.1,3,43,155,2,0,5,10,2,23.3,3,2,7,0,1,185.8,0.48
Anthony Richardson,IND,11,299,264,126,16,60.2,1814,0,12.3,8,3,3,12,14,12,2,1,4.5,0.8,86,499,6,0,9,20,5,23.3,10,5,11.6,1,2,178.5,0.6
Derek Carr,NO,10,300,279,189,10,78.7,2145,0,8.6,15,6,4,5,8,16,9,0,5.7,3.2,17,71,1,0,3,4,1,23.5,3,1,17.6,1,3,153.9,0.51
Trevor Lawrence,JAX,10,317,284,172,17,70,2045,2,9.9,11,1,1,7,18,28,9,1,9.9,3.2,26,119,3,0,3,4,3,15.4,3,2,11.5,3,4,148.7,0.47
Daniel Jones,NYG,10,389,341,216,24,77.7,2070,0,7.5,8,0,0,7,29,9,4,2,2.6,1.2,67,265,2,0,4,14,2,20.9,6,2,9,0,6,146.3,0.38
Will Levis,TEN,12,362,301,190,14,73.4,2091,0,9.1,13,5,2,12,41,11,6,0,3.7,2,45,183,0,0,10,7,0,15.6,0,0,0,1,2,141.9,0.39
Jameis Winston,CLV,12,329,296,181,12,70.7,2121,3,9.7,13,2,2,12,24,24,7,4,8.1,2.4,25,83,1,0,5,3,1,12,1,1,4,4,7,139.1,0.42
Dak Prescott,DAL,8,317,286,185,9,72.4,1978,2,8.3,11,2,2,8,21,16,8,2,5.6,2.8,13,54,1,0,4,2,1,15.4,2,1,15.4,0,2,126.5,0.4
Justin Fields,PIT,10,196,161,106,9,78.2,1106,1,7.8,5,1,1,1,16,5,1,0,3.1,0.6,62,289,5,0,6,17,5,27.4,7,4,11.3,0,1,122.1,0.62
Cooper Rush,DAL,12,326,308,187,14,70.5,1844,1,7.5,12,1,1,5,13,22,11,1,7.1,3.6,26,18,0,0,9,5,0,19.2,0,0,0,1,1,118.6,0.36
Joe Flacco,IND,8,270,248,162,8,73,1761,2,9.2,12,2,1,7,18,16,8,0,6.5,3.2,9,26,0,0,4,2,0,22.2,0,0,0,0,1,114,0.42
Gardner Minshew,LV,10,346,306,203,5,76.8,2013,0,6.2,9,1,1,10,29,10,4,0,3.3,1.3,19,58,0,0,6,2,0,10.5,0,0,0,1,1,112.3,0.32
Mason Rudolph,TEN,8,256,228,146,11,77,1530,0,7.6,9,0,0,9,11,10,5,0,4.4,2.2,25,106,1,0,5,4,1,16,0,0,0,1,1,104.8,0.41
Mac Jones,JAX,10,290,262,171,5,72.7,1672,0,7.7,7,1,1,8,14,9,4,0,3.4,1.5,28,92,1,0,2,2,1,7.1,2,1,7.1,1,3,102.1,0.35
Aidan O'Connell,LV,9,256,243,154,5,71.3,1612,1,8.3,8,1,1,4,10,12,4,0,4.9,1.6,21,30,1,0,2,2,1,9.5,1,1,4.8,0,2,101.5,0.4
Drew Lock,NYG,7,204,181,107,9,71.2,1071,1,7.3,6,2,1,5,12,9,2,0,5,1.1,18,133,2,0,5,2,2,11.1,1,1,5.6,1,1,87.1,0.43
Deshaun Watson,CLV,7,270,216,137,15,76.8,1148,0,7.1,5,0,0,3,33,9,5,0,4.2,2.3,31,148,1,0,5,5,1,16.1,2,1,6.5,1,1,83.7,0.31
Spencer Rattler,NO,7,264,228,130,10,69,1317,0,8.2,4,0,0,5,22,9,4,0,3.9,1.8,18,146,0,0,5,0,0,0,0,0,0,0,1,78.3,0.3
Tyler Huntley,MIA,5,168,133,86,7,77.5,831,0,8.2,3,0,0,3,15,8,1,1,6,0.8,26,135,2,0,6,3,2,11.5,1,1,3.8,0,2,67.7,0.4
Andy Dalton,CAR,6,175,160,106,11,77.5,989,1,7,7,0,0,6,7,11,6,0,6.9,3.8,11,34,0,0,2,0,0,0,0,0,0,0,1,65,0.37
Malik Willis,GB,7,71,54,40,4,83,550,0,7.5,3,0,0,0,8,0,0,0,0,0,20,138,1,0,1,5,1,25,3,1,15,0,1,53.8,0.76
Michael Penix Jr.,ATL,5,114,105,61,8,70.4,775,1,10.6,3,0,0,3,4,8,2,0,7.6,1.9,7,11,1,0,2,2,1,28.6,2,1,28.6,0,0,47.1,0.41
Jacoby Brissett,NE,8,188,161,95,6,70.6,826,0,7.3,2,0,0,1,18,10,1,0,6.2,0.6,15,62,0,0,4,3,0,20,1,0,6.7,1,1,46.2,0.25
Marcus Mariota,WAS,3,51,44,34,3,88.1,364,0,9.8,4,0,0,0,3,2,2,0,4.5,4.5,18,92,1,0,1,2,1,11.1,1,1,5.6,0,1,45.8,0.9
Joshua Dobbs,SF,2,52,47,32,2,75.6,361,1,7.4,2,0,0,2,2,2,0,0,4.3,0,9,24,2,0,2,3,2,33.3,1,1,11.1,0,0,34.8,0.67
Tanner McKee,PHI,2,47,45,30,3,75,323,0,7.4,4,0,0,0,2,2,1,0,4.4,2.2,5,-1,0,0,1,0,0,0,0,0,0,0,0,28.8,0.61
Desmond Ridder,LV,5,102,85,52,2,72,458,0,7.9,2,0,0,2,10,4,1,1,4.7,1.2,9,36,0,0,3,1,0,11.1,0,0,0,0,0,27.9,0.27
Kenny Pickett,PHI,5,50,42,25,1,72.2,291,0,9.1,2,0,0,1,4,2,1,0,4.8,2.4,9,15,1,0,1,2,1,22.2,2,1,22.2,0,0,26.1,0.52
Dorian Thompson-Robinson,CLV,7,133,118,61,8,67,440,0,5.7,0,0,0,6,8,4,0,1,3.4,0,21,122,0,0,3,2,0,9.5,0,0,0,0,0,23.8,0.18
Joe Milton III,NE,1,32,29,22,0,81.5,241,0,10.5,1,1,0,0,0,2,0,0,6.9,0,10,16,1,0,1,3,1,30,2,1,20,0,0,21.2,0.66
Jimmy Garoppolo,LA,1,45,41,27,2,72.5,334,1,4.8,2,0,0,1,3,1,1,0,2.4,2.4,2,5,0,0,0,0,0,0,0,0,0,0,1,20.9,0.46
Tyrod Taylor,NYJ,2,24,22,17,0,81,119,0,4.8,3,0,0,0,0,3,2,0,13.6,9.1,3,13,0,0,1,1,0,33.3,0,0,0,1,3,18.1,0.75
Mitch Trubisky,BUF,9,28,26,19,0,76,179,0,6.2,2,1,1,0,0,0,0,0,0,0,17,1,0,0,1,4,0,23.5,0,0,0,0,0,15.3,0.55
Tim Boyle,NYG,3,55,50,27,2,64.4,276,0,7.7,1,0,0,1,2,7,1,0,14,2,3,9,0,0,0,0,0,0,0,0,0,0,0,14.9,0.27
Jake Haener,NO,8,51,39,18,5,62.2,226,0,9,1,0,0,1,6,3,0,0,7.7,0,11,22,0,0,0,0,0,0,0,0,0,0,0,14.2,0.28
Trey Lance,DAL,4,47,41,25,1,68.4,266,0,7.8,0,0,0,1,4,5,0,0,12.2,0,11,41,0,0,0,3,0,27.3,1,0,9.1,0,0,13.7,0.29
Tommy DeVito,NYG,3,55,44,31,1,78,257,0,5.8,0,0,0,0,6,2,0,0,4.5,0,8,32,0,0,0,1,0,12.5,0,0,0,0,0,13.5,0.25
Brandon Allen,SF,3,33,30,17,2,70.4,199,0,8.1,1,0,0,2,2,1,1,0,3.3,3.3,3,4,0,0,2,0,0,0,0,0,0,0,0,10.4,0.32
Davis Mills,HST,4,39,36,20,1,61.8,212,0,7.6,0,0,0,0,2,6,0,0,16.7,0,3,11,0,0,0,3,0,100,0,0,0,0,0,9.6,0.25
Bailey Zappe,CLV,1,33,31,16,2,60,170,0,8.1,1,0,0,2,1,2,0,0,6.5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,9,0.27
Skylar Thompson,MIA,3,40,33,21,2,74.2,187,0,7.6,0,0,0,0,6,4,0,0,12.1,0,1,4,0,0,2,0,0,0,0,0,0,0,0,7.9,0.2
Carson Wentz,KC,3,25,19,12,0,66.7,118,0,5.2,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,2,0,66.7,0,0,0,0,0,4.7,0.19
Taylor Heinicke,LAC,4,10,5,3,1,80,28,0,6.2,0,0,0,0,3,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,3.1,0.31
Hendon Hooker,DET,3,11,9,6,1,77.8,62,0,5.6,0,0,0,0,1,0,0,0,0,0,5,2,0,0,0,1,0,20,0,0,0,0,0,2.7,0.25
Nick Mullens,MIN,4,2,2,2,0,100,38,0,12,0,0,0,0,0,0,0,0,0,0,3,-2,0,0,0,0,0,0,0,0,0,0,0,1.3,0.65
Mike White,BUF,1,12,11,3,1,44.4,28,0,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0.09
Kyle Allen,PIT,1,1,1,1,0,100,19,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8
Josh Johnson,BLT,6,4,3,2,0,66.7,17,0,18,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,1,0,25,0,0,0,0,0,0.8,0.2
Chris Oladokun,KC,1,2,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0.5,0.25
Jarrett Stidham,DEN,3,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
Sam Howell,SEA,2,19,14,5,1,46.2,24,0,6.6,0,0,0,1,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0.2,0.01
Jeff Driskel,WAS,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Clayton Tune,ARZ,6,2,2,2,0,100,8,0,1,0,0,0,0,0,0,0,0,0,0,7,-4,0,0,1,1,0,14.3,0,0,0,0,0,-0.1,-0.05
Jake Browning,CIN,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,-0.2,
Kyle Trask,TB,4,1,1,1,0,100,5,0,-3,0,0,0,0,0,0,0,0,0,0,5,-4,0,0,0,3,0,60,0,0,0,0,0,-0.2,-0.2
Tyson Bagent,CHI,4,2,2,2,0,100,11,0,0.5,0,0,0,0,0,0,0,0,0,0,6,-7,0,0,0,0,0,0,0,0,0,0,0,-0.3,-0.15
