_row_number,fantasyPointsRank,playerName,position,byeWeek,games,fantasyPoints,auctionValue,passComp,passAtt,passYds,passTd,passInt,passSacked,rushAtt,rushYds,rushTd,recvTargets,recvReceptions,recvYds,recvTd,fumbles,fumblesLost,twoPt,returnYds,returnTd,fgMade019,fgAtt019,fgMade2029,fgAtt2029,fgMade3039,fgAtt3039,fgMade4049,fgAtt4049,fgMade50plus,fgAtt50plus,patMade,patAtt,dstSacks,dstSafeties,dstInt,dstFumblesForced,dstFumblesRecovered,dstTd,dstReturnYds,dstReturnTd,dstPts0,dstPts16,dstPts713,dstPts1420,dstPts2127,dstPts2834,dstPts35plus,idpTacklesSolo,idpTacklesAssist,idpSacks,idpTacklesForLoss,idpPassDefended,idpInt,idpFumblesForced,idpFumblesRecovered,idpSafeties,idpTd,_quarantine_reason,_exceptions
10,9,Derrick Henry,RB,7,17.0,267.6,44,0.0,0.0,0.0,0.0,0.0,0.0,298.5019,1441.0892,11.8425,32.6284,27.2336,192.3487,1.1548,4.3307,1.9381,0.4743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 10, 'column': 'teamName', 'value': 'BLT', 'error': 'Invalid value BLT for teamName'}]"
14,13,Puka Nacua,WR,8,17.0,291.0,38,0.0,0.0,0.0,0.0,0.0,0.0,10.8348,64.7104,0.5666,157.8156,112.4073,1306.0855,6.3355,1.3583,0.7332,0.4332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 14, 'column': 'teamName', 'value': 'LA', 'error': 'Invalid value LA for teamName'}]"
15,14,Kyren Williams,RB,8,17.0,244.0,33,0.0,0.0,0.0,0.0,0.0,0.0,248.3346,1093.3067,8.7162,41.9289,34.2478,241.6067,1.591,3.7278,1.6813,0.3973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 15, 'column': 'teamName', 'value': 'LA', 'error': 'Invalid value LA for teamName'}]"
16,15,Nico Collins,WR,6,17.0,273.7,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.9846,99.6264,1299.3454,7.2377,0.0,0.0,0.3757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 16, 'column': 'teamName', 'value': 'HST', 'error': 'Invalid value HST for teamName'}]"
26,25,Trey McBride,TE,8,17.0,241.1,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.4411,105.9743,987.5098,5.9366,0.0,0.0,0.3779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 26, 'column': 'teamName', 'value': 'ARZ', 'error': 'Invalid value ARZ for teamName'}]"
34,33,James Conner,RB,8,17.0,225.0,26,0.0,0.0,0.0,0.0,0.0,0.0,192.0038,863.1457,6.9187,49.4433,41.5343,282.2175,1.3498,3.0445,1.3895,0.3471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 34, 'column': 'teamName', 'value': 'ARZ', 'error': 'Invalid value ARZ for teamName'}]"
38,37,Marvin Harrison Jr.,WR,8,17.0,235.3,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.7744,87.0579,1038.7076,7.2619,0.0,0.0,0.3869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 38, 'column': 'teamName', 'value': 'ARZ', 'error': 'Invalid value ARZ for teamName'}]"
43,42,Lamar Jackson,QB,7,17.0,328.4,19,315.6998,444.2148,3403.7526,26.0278,8.2891,35.581,114.3642,699.8063,3.8696,0.0,0.0,0.0,0.0,0.0,0.0,1.6172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 43, 'column': 'teamName', 'value': 'BLT', 'error': 'Invalid value BLT for teamName'}]"
44,43,Davante Adams,WR,8,17.0,224.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.6219,83.7982,971.9103,7.0628,0.0,0.0,0.3322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 44, 'column': 'teamName', 'value': 'LA', 'error': 'Invalid value LA for teamName'}]"
68,67,Zay Flowers,WR,7,17.0,205.6,14,0.0,0.0,0.0,0.0,0.0,0.0,6.5297,42.9271,0.3115,111.351,76.2325,926.4316,5.0531,0.9101,0.4924,0.3878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 68, 'column': 'teamName', 'value': 'BLT', 'error': 'Invalid value BLT for teamName'}]"
72,71,Joe Mixon,RB,6,17.0,156.5,13,0.0,0.0,0.0,0.0,0.0,0.0,159.3626,668.073,5.5305,36.7057,30.0611,205.1102,1.0937,2.4793,1.127,0.2655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 72, 'column': 'teamName', 'value': 'HST', 'error': 'Invalid value HST for teamName'}]"
77,76,David Njoku,TE,9,17.0,178.5,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.4099,76.6833,711.7884,5.0227,0.0,0.0,0.2403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 77, 'column': 'teamName', 'value': 'CLV', 'error': 'Invalid value CLV for teamName'}]"
84,83,Jerry Jeudy,WR,9,17.0,192.9,10,0.0,0.0,0.0,0.0,0.0,0.0,0.7959,4.7463,0.0379,115.6898,73.4071,911.9932,4.5808,0.8021,0.4415,0.2621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 84, 'column': 'teamName', 'value': 'CLV', 'error': 'Invalid value CLV for teamName'}]"
109,108,Mark Andrews,TE,7,17.0,149.5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.2046,55.5014,597.26,5.621,0.0,0.0,0.2668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 109, 'column': 'teamName', 'value': 'BLT', 'error': 'Invalid value BLT for teamName'}]"
113,112,Kyler Murray,QB,8,17.0,267.4,2,335.0555,472.2755,3271.1374,20.2605,9.0305,28.8997,79.0221,420.0456,3.3114,0.0,0.0,0.0,0.0,0.0,0.0,1.3307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 113, 'column': 'teamName', 'value': 'ARZ', 'error': 'Invalid value ARZ for teamName'}]"
116,115,Dylan Sampson,RB,9,17.0,114.9,1,0.0,0.0,0.0,0.0,0.0,0.0,117.8167,512.5364,3.3811,29.0439,23.0213,159.5422,0.8103,1.8416,0.8379,0.1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 116, 'column': 'teamName', 'value': 'CLV', 'error': 'Invalid value CLV for teamName'}]"
123,122,Jerome Ford,RB,9,17.0,111.3,0,0.0,0.0,0.0,0.0,0.0,0.0,93.1147,410.2208,2.3864,37.7569,30.3994,208.2788,0.8519,1.587,0.7349,0.1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 123, 'column': 'teamName', 'value': 'CLV', 'error': 'Invalid value CLV for teamName'}]"
125,124,Christian Kirk,WR,6,17.0,156.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.4849,61.2244,707.0618,3.9376,0.0,0.0,0.2311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 125, 'column': 'teamName', 'value': 'HST', 'error': 'Invalid value HST for teamName'}]"
126,125,Nick Chubb,RB,6,17.0,110.4,0,0.0,0.0,0.0,0.0,0.0,0.0,144.4223,624.6113,4.2633,14.9117,11.8362,83.1475,0.46,2.0808,0.9297,0.1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 126, 'column': 'teamName', 'value': 'HST', 'error': 'Invalid value HST for teamName'}]"
127,126,Quinshon Judkins,RB,9,11.0,109.9,0,0.0,0.0,0.0,0.0,0.0,0.0,106.9064,470.1016,3.2603,29.0007,22.9719,159.1042,0.8002,1.6935,0.7727,0.1851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 127, 'column': 'teamName', 'value': 'CLV', 'error': 'Invalid value CLV for teamName'}]"
130,129,Isaiah Likely,TE,7,17.0,135.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.918,49.9822,549.5113,5.0417,0.0,0.0,0.2385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 130, 'column': 'teamName', 'value': 'BLT', 'error': 'Invalid value BLT for teamName'}]"
133,132,C.J. Stroud,QB,6,17.0,257.8,0,346.2994,506.434,3766.1689,21.6301,10.0093,43.6517,48.4979,240.1957,0.6844,0.0,0.0,0.0,0.0,0.0,0.0,1.2718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 133, 'column': 'teamName', 'value': 'HST', 'error': 'Invalid value HST for teamName'}]"
139,138,Jayden Higgins,WR,6,17.0,151.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.4702,58.5164,694.6667,3.918,0.0,0.0,0.2212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 139, 'column': 'teamName', 'value': 'HST', 'error': 'Invalid value HST for teamName'}]"
155,154,Trey Benson,RB,8,17.0,102.9,0,0.0,0.0,0.0,0.0,0.0,0.0,123.6487,548.4457,3.6494,17.2218,14.287,96.144,0.4515,1.8263,0.8207,0.1839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 155, 'column': 'teamName', 'value': 'ARZ', 'error': 'Invalid value ARZ for teamName'}]"
166,165,Cedric Tillman,WR,9,17.0,145.3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.5919,9.4925,0.075,87.85,54.2533,661.3872,3.9138,0.6064,0.3322,0.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 166, 'column': 'teamName', 'value': 'CLV', 'error': 'Invalid value CLV for teamName'}]"
168,167,Keaton Mitchell,RB,7,17.0,99.9,0,0.0,0.0,0.0,0.0,0.0,0.0,73.2263,333.545,2.0802,34.1822,28.1984,198.9803,1.0299,1.2943,0.6034,0.2056,629.5413,0.1609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 168, 'column': 'teamName', 'value': 'BLT', 'error': 'Invalid value BLT for teamName'}]"
172,171,Matthew Stafford,QB,8,17.0,246.1,0,354.175,495.6569,3697.6602,23.1175,10.2197,31.1713,31.8753,76.2277,0.9426,0.0,0.0,0.0,0.0,0.0,0.0,1.3444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 172, 'column': 'teamName', 'value': 'LA', 'error': 'Invalid value LA for teamName'}]"
182,181,Rashod Bateman,WR,7,17.0,134.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.5076,45.2564,596.8189,4.7665,0.0,0.0,0.2474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 182, 'column': 'teamName', 'value': 'BLT', 'error': 'Invalid value BLT for teamName'}]"
188,187,Tutu Atwell,WR,8,17.0,125.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5402,48.1223,595.7885,2.9552,0.0,0.0,0.1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 188, 'column': 'teamName', 'value': 'LA', 'error': 'Invalid value LA for teamName'}]"
191,190,Blake Corum,RB,8,17.0,78.1,0,0.0,0.0,0.0,0.0,0.0,0.0,86.6787,364.2152,2.4819,17.4704,14.0768,100.9396,0.4823,1.324,0.5995,0.1462,629.5703,0.1609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 191, 'column': 'teamName', 'value': 'LA', 'error': 'Invalid value LA for teamName'}]"
197,196,Dalton Schultz,TE,6,17.0,97.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0733,40.6949,402.3847,2.7873,0.0,0.0,0.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 197, 'column': 'teamName', 'value': 'HST', 'error': 'Invalid value HST for teamName'}]"
198,197,Jaylin Noel,WR,6,17.0,117.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.3967,45.151,538.812,2.9896,0.0,0.0,0.1716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 198, 'column': 'teamName', 'value': 'HST', 'error': 'Invalid value HST for teamName'}]"
208,207,Michael Wilson,WR,8,17.0,109.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.4429,41.6743,500.0544,2.9561,0.0,0.0,0.1747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 208, 'column': 'teamName', 'value': 'ARZ', 'error': 'Invalid value ARZ for teamName'}]"
209,208,Jarquez Hunter,RB,8,17.0,64.1,0,0.0,0.0,0.0,0.0,0.0,0.0,55.041,239.6517,1.6937,19.2174,15.2949,111.0336,0.6254,0.9093,0.4185,0.1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 209, 'column': 'teamName', 'value': 'LA', 'error': 'Invalid value LA for teamName'}]"
214,213,Terrance Ferguson,TE,8,17.0,87.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.917,34.8926,360.6257,2.6753,0.0,0.0,0.1304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 214, 'column': 'teamName', 'value': 'LA', 'error': 'Invalid value LA for teamName'}]"
216,215,DeAndre Hopkins,WR,7,17.0,106.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.1136,39.5004,464.1999,3.3666,0.0,0.0,0.2085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 216, 'column': 'teamName', 'value': 'BLT', 'error': 'Invalid value BLT for teamName'}]"
219,218,Tyler Higbee,TE,8,17.0,85.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.17,36.6316,327.6235,2.639,0.0,0.0,0.1258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 219, 'column': 'teamName', 'value': 'LA', 'error': 'Invalid value LA for teamName'}]"
228,227,Diontae Johnson,WR,9,17.0,99.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.8662,38.7772,437.1132,2.8116,0.0,0.0,0.1397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 228, 'column': 'teamName', 'value': 'CLV', 'error': 'Invalid value CLV for teamName'}]"
236,235,Joe Flacco,QB,9,17.0,199.8,0,303.3926,441.8975,3006.6207,17.9388,11.3423,29.9892,44.1827,76.7548,1.5672,0.0,0.0,0.0,0.0,0.0,0.0,1.0222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 236, 'column': 'teamName', 'value': 'CLV', 'error': 'Invalid value CLV for teamName'}]"
238,237,Dameon Pierce,RB,6,17.0,49.1,0,0.0,0.0,0.0,0.0,0.0,0.0,55.1959,237.889,1.5353,10.897,8.7402,60.3992,0.2601,0.8407,0.3804,0.0875,751.3554,0.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 238, 'column': 'teamName', 'value': 'HST', 'error': 'Invalid value HST for teamName'}]"
241,240,Harold Fannin Jr.,TE,9,17.0,74.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.925,31.2818,307.7201,2.0538,0.0,0.0,0.0992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 241, 'column': 'teamName', 'value': 'CLV', 'error': 'Invalid value CLV for teamName'}]"
245,244,Emari Demercado,RB,8,17.0,45.8,0,0.0,0.0,0.0,0.0,0.0,0.0,39.6198,182.1045,1.2703,13.333,10.7461,74.1748,0.3185,0.6517,0.2997,0.0801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 245, 'column': 'teamName', 'value': 'ARZ', 'error': 'Invalid value ARZ for teamName'}]"
247,246,Justice Hill,RB,7,17.0,45.3,0,0.0,0.0,0.0,0.0,0.0,0.0,10.7274,48.9094,0.3154,23.8239,19.8526,140.7874,0.771,0.3591,0.1819,0.0943,629.5413,0.1609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 247, 'column': 'teamName', 'value': 'BLT', 'error': 'Invalid value BLT for teamName'}]"
251,250,Woody Marks,RB,6,17.0,43.7,0,0.0,0.0,0.0,0.0,0.0,0.0,36.5206,159.1284,1.1603,13.7646,10.923,76.9916,0.395,0.6117,0.2823,0.0741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 251, 'column': 'teamName', 'value': 'HST', 'error': 'Invalid value HST for teamName'}]"
