"Offense","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","Season #G","Season SOS","Playoffs #G","Playoffs SOS","All #G","All SOS"
"ARZ","7.266432611927117","8.554794889511031","4.625939719325168","8.939465927443148","5.861549501731625","8.397281443712135","5.228287641794207","","2.9491377300130845","8.939465927443148","4.625939719325168","9.322254389556404","5.6422311005046595","10","1.558168071163406","7.304767620687999","8.21612318756494","13","10","3","5.123415902542346","16","9.890452210796838"
"ATL","5.6422311005046595","5.585684820779955","8.554794889511031","9.116195109954802","","6.984327393240532","4.625939719325168","6.90966788356599","2.0627338701517512","8.397281443712135","8.554794889511031","7.266432611927117","2.8007749965440976","8.939465927443148","5.6422311005046595","6.55037670492832","10","13","7.339846179189587","3","7.649153499062987","16","9.545874746931014"
"BLT","6.984327393240532","6.503880517893826","2.1174945534927194","5.2758658895974015","1.558168071163406","10","","4.340962607601134","5.615866349814368","5.585684820779955","6.503880517893826","2.8007749965440976","8.21612318756494","4.508225045462278","8.21612318756494","3.2994933357373797","5.228287641794207","13","2.4495690748505368","3","4.9578727788026224","16","1.2557197480808966"
"BUF","1.8138040779884033","2.8007749965440976","6.298988057157602","7.266432611927117","3.2994933357373797","7.304767620687999","","9.384172657920928","4.40389935475338","6.298988057157602","5.6422311005046595","1.558168071163406","4.508225045462278","8.21612318756494","3.2994933357373797","6.503880517893826","0","13","1.9974045038960775","3","1.5297334178452215","16","0"
"CAR","9.322254389556404","6.55037670492832","7.304767620687999","3.2994933357373797","6.298988057157602","4.04778057633952","2.8007749965440976","7.661450099519823","4.347539256371568","7.266432611927117","7.304767620687999","4.625939719325168","10","","7.266432611927117","5.6422311005046595","8.939465927443148","13","5.990247575306013","3","7.479005238721964","16","7.351611072485703"
"CHI","5.585684820779955","2.1174945534927194","4.04778057633952","9.831848926067831","","9.116195109954802","7.266432611927117","1.9896503487598087","7.88686054463903","5.1481434879958865","5.585684820779955","4.508225045462278","0","5.228287641794207","6.503880517893826","5.228287641794207","4.625939719325168","13","2.1188521008071612","3","4.767316239996267","16","1.8949061925603123"
"CIN","6.503880517893826","9.322254389556404","5.585684820779955","6.22188047963956","2.1174945534927194","5.228287641794207","4.508225045462278","3.0723069907594205","2.841963875438396","","4.508225045462278","3.2994933357373797","1.8138040779884033","6.984327393240532","1.8138040779884033","6.298988057157602","6.55037670492832","13","0.5000535216093603","3","3.9301342131112156","16","0.820046007532357"
"CLV","8.21612318756494","1.8138040779884033","5.228287641794207","2.1174945534927194","5.585684820779955","4.508225045462278","6.298988057157602","3.619375513512609","","2.8007749965440976","1.8138040779884033","9.831848926067831","4.625939719325168","5.861549501731625","3.95730620959101","6.984327393240532","4.508225045462278","13","1.1583341590037135","3","4.318704275540913","16","0.7960345501349763"
"DAL","0","5.1481434879958865","3.95730620959101","5.228287641794207","2.8007749965440976","8.554794889511031","9.116195109954802","6.82508481290108","5.9136555617886035","","9.831848926067831","0","5.2758658895974015","2.1174945534927194","5.585684820779955","5.7853609528121295","9.116195109954802","13","2.8050184704416243","3","6.806820823109555","16","2.720654733954456"
"DEN","5.861549501731625","8.397281443712135","5.7853609528121295","8.21612318756494","0","2.8007749965440976","5.1481434879958865","4.440208362718543","0","9.831848926067831","5.2758658895974015","","9.116195109954802","9.831848926067831","5.228287641794207","9.322254389556404","5.2758658895974015","13","3.2461046730102994","3","6.480415290903904","16","4.405450282256938"
"DET","5.228287641794207","3.95730620959101","1.8138040779884033","6.503880517893826","8.21612318756494","5.2758658895974015","5.6422311005046595","","4.770903736970748","9.116195109954802","0","5.1481434879958865","5.228287641794207","4.04778057633952","10","4.508225045462278","5.585684820779955","13","1.2821859358840233","3","6.6125426510107985","16","2.289313343434493"
"GB","2.1174945534927194","9.116195109954802","6.503880517893826","4.04778057633952","","8.21612318756494","6.55037670492832","4.945292406630633","8.288043255691612","0","5.1481434879958865","5.585684820779955","2.1174945534927194","3.95730620959101","6.22188047963956","3.95730620959101","1.8138040779884033","13","2.627686745444782","3","2.6112519171576345","16","1.2584173096117104"
"HST","10","5.6422311005046595","9.322254389556404","5.861549501731625","1.8138040779884033","","8.939465927443148","5.074419386081025","5.524526486419732","9.322254389556404","5.861549501731625","6.984327393240532","8.397281443712135","5.2758658895974015","6.55037670492832","9.831848926067831","5.7853609528121295","13","8.130954979161963","3","7.636794755442319","16","10"
"IND","6.298988057157602","6.22188047963956","5.861549501731625","10","9.831848926067831","6.55037670492832","5.7853609528121295","6.429820150877275","3.494569661143956","7.304767620687999","","5.2758658895974015","1.558168071163406","9.322254389556404","8.939465927443148","4.625939719325168","9.322254389556404","13","7.699415567960396","3","7.992460970353054","16","8.791430775927884"
"JAX","8.554794889511031","8.21612318756494","1.558168071163406","4.625939719325168","5.2758658895974015","8.939465927443148","10","","9.800812104114772","1.558168071163406","5.7853609528121295","6.55037670492832","5.861549501731625","8.397281443712135","2.8007749965440976","6.22188047963956","8.397281443712135","13","9.511217576643595","3","5.291785951430859","16","8.995462524060962"
"KC","5.7853609528121295","0","5.1481434879958865","1.8138040779884033","9.322254389556404","2.1174945534927194","9.831848926067831","10","6.427703569342359","","6.22188047963956","8.397281443712135","4.04778057633952","1.558168071163406","5.7853609528121295","5.861549501731625","6.22188047963956","13","2.8515677481500292","3","5.513488623222509","16","2.7328927991608785"
"LA","1.558168071163406","5.861549501731625","0","8.397281443712135","4.625939719325168","1.8138040779884033","9.322254389556404","","6.76187892495793","4.625939719325168","8.939465927443148","5.6422311005046595","8.554794889511031","6.55037670492832","2.1174945534927194","8.939465927443148","7.304767620687999","13","4.1357561642280665","3","5.756965307329812","16","3.4000284618376986"
"LAC","5.2758658895974015","9.831848926067831","6.22188047963956","5.1481434879958865","9.116195109954802","6.298988057157602","8.397281443712135","6.1272106985516785","5.0976866950741195","4.508225045462278","9.322254389556404","","9.831848926067831","0","5.2758658895974015","4.04778057633952","1.558168071163406","13","6.6462779348170296","3","2.0624081256194975","16","4.628365965353202"
"LV","3.2994933357373797","5.7853609528121295","9.116195109954802","3.95730620959101","8.397281443712135","5.861549501731625","5.2758658895974015","","9.197158133261961","6.22188047963956","4.04778057633952","6.503880517893826","5.7853609528121295","6.22188047963956","0","1.558168071163406","5.1481434879958865","13","6.069481003740753","3","0","16","2.0800816700937927"
"MIA","8.397281443712135","3.2994933357373797","6.984327393240532","2.8007749965440976","8.554794889511031","5.7853609528121295","6.503880517893826","8.012956647572473","0.30282053585047797","6.984327393240532","9.116195109954802","","7.266432611927117","2.8007749965440976","4.508225045462278","8.21612318756494","5.6422311005046595","13","6.084376219320559","3","5.759361478559769","16","6.543698862790357"
"MIN","3.95730620959101","7.304767620687999","8.21612318756494","4.508225045462278","6.503880517893826","","0","6.346245207602642","0.6625652903828856","1.8138040779884033","3.95730620959101","5.228287641794207","8.939465927443148","9.116195109954802","4.04778057633952","5.1481434879958865","2.1174945534927194","13","2.336836435742882","3","2.275590529714555","16","1.3901087235903897"
"NE","9.831848926067831","6.298988057157602","4.508225045462278","8.554794889511031","6.984327393240532","7.266432611927117","5.861549501731625","7.134424438537575","6.807289694899858","5.6422311005046595","2.8007749965440976","8.21612318756494","5.1481434879958865","","6.984327393240532","1.8138040779884033","2.8007749965440976","13","7.653146613812991","3","2.4166016760608953","16","6.75057689638221"
"NO","6.55037670492832","4.625939719325168","8.939465927443148","6.984327393240532","5.1481434879958865","3.2994933357373797","3.95730620959101","6.189239076666312","10","8.554794889511031","","7.304767620687999","6.298988057157602","5.6422311005046595","8.554794889511031","2.8007749965440976","5.861549501731625","13","7.266419443430257","3","5.191608193577592","16","6.4576458039300375"
"NYG","9.116195109954802","4.04778057633952","5.2758658895974015","5.7853609528121295","7.266432611927117","0","6.22188047963956","0","3.6340117571904145","3.95730620959101","5.228287641794207","2.1174945534927194","3.2994933357373797","","9.116195109954802","5.585684820779955","9.831848926067831","13","0","3","8.805504507531056","16","1.2652399329495958"
"NYJ","4.508225045462278","6.984327393240532","5.6422311005046595","6.298988057157602","4.04778057633952","6.22188047963956","8.554794889511031","9.012667114367714","","6.503880517893826","3.2994933357373797","1.8138040779884033","7.304767620687999","6.298988057157602","9.322254389556404","7.266432611927117","3.2994933357373797","13","4.444056753722737","3","6.510926569169878","16","6.464065191075395"
"PHI","4.04778057633952","5.2758658895974015","10","5.6422311005046595","6.22188047963956","5.1481434879958865","5.585684820779955","5.647250224355292","","5.228287641794207","2.1174945534927194","4.04778057633952","3.95730620959101","5.7853609528121295","9.831848926067831","9.116195109954802","6.984327393240532","13","2.652157919651966","3","9.4963366830843","16","6.066266504622594"
"PIT","2.8007749965440976","8.939465927443148","3.2994933357373797","5.585684820779955","","6.503880517893826","8.21612318756494","5.73516426396465","8.101456449502257","5.7853609528121295","8.21612318756494","3.95730620959101","6.984327393240532","1.8138040779884033","6.298988057157602","2.1174945534927194","6.503880517893826","13","3.771608036498013","3","4.057170307494426","16","2.626891160528584"
"SEA","4.625939719325168","4.508225045462278","7.266432611927117","6.55037670492832","5.6422311005046595","9.322254389556404","1.558168071163406","","8.953065048563458","6.55037670492832","10","5.861549501731625","5.585684820779955","7.304767620687999","8.397281443712135","10","8.554794889511031","13","7.279261854250834","3","10","16","9.634362720400043"
"SF","8.939465927443148","7.266432611927117","6.55037670492832","9.322254389556404","10","5.6422311005046595","7.304767620687999","1.709230717826455","4.252602334535261","10","6.55037670492832","8.554794889511031","6.503880517893826","","5.861549501731625","8.397281443712135","3.95730620959101","13","9.573554415060233","3","5.685053503446954","16","9.90631560545523"
"TB","7.304767620687999","1.558168071163406","2.8007749965440976","0","8.939465927443148","4.625939719325168","2.1174945534927194","7.970905102713566","","3.2994933357373797","6.984327393240532","10","6.55037670492832","7.266432611927117","7.304767620687999","8.554794889511031","6.298988057157602","13","1.6075931367373075","3","7.6323315916386845","16","2.7691155592700434"
"TEN","6.22188047963956","10","8.397281443712135","1.558168071163406","6.55037670492832","9.831848926067831","3.2994933357373797","9.211388460238616","5.0074354918261115","","1.558168071163406","8.939465927443148","9.322254389556404","6.503880517893826","4.625939719325168","5.2758658895974015","7.266432611927117","13","9.425435631226254","3","5.1674642960846775","16","9.361303096361139"
"WAS","5.1481434879958865","5.228287641794207","9.831848926067831","7.304767620687999","5.7853609528121295","3.95730620959101","4.04778057633952","5.78735516952265","8.74371572249128","2.1174945534927194","6.298988057157602","","6.22188047963956","5.585684820779955","5.1481434879958865","0","4.04778057633952","13","4.629681237551542","3","1.229695461228249","16","2.556151895601635"