"team","games","sacks","fumbleRecoveries","interceptions","defenseTouchdowns","safeties","blockedKicks","kickYards","kickTouchdowns","puntYards","puntTouchdowns","paPerGame","pa0Games","pa16Games","pa713Games","pa1420Games","pa2127Games","pa2834Games","pa3545Games","pa46plusGames","passYdsPerGame","runYdsPerGame","yaNegGames","ya099Games","ya100199Games","ya200299Games","ya300349Games","ya350399Games","ya400449Games","ya450499Games","ya500549Games","ya550plusGames","fantasyPts","fantasyPpg"
"ARZ","17","33","6","11","1","0","0","382","0","286","0","26.8","0","0","1","3","6","4","3","0","226.2","143.2","0","0","0","4","4","0","8","1","0","0","64","3.76"
"ATL","17","42","8","8","1","1","0","236","0","241","0","21.9","0","0","5","3","4","3","1","1","218.1","118.2","0","0","0","6","4","4","1","2","0","0","94","5.53"
"BLT","17","59","13","18","1","1","0","319","0","417","1","16.5","0","3","3","6","3","2","0","0","218.6","109.1","0","0","1","3","7","4","1","1","0","0","172","10.12"
"BUF","17","55","12","18","2","0","1","349","0","360","1","18.3","0","2","3","4","6","1","1","0","216.3","110.6","0","0","1","4","6","3","2","0","1","0","159","9.35"
"CAR","17","27","3","8","2","0","0","637","0","322","1","24.5","0","0","3","3","5","3","3","0","182.9","122.4","0","0","0","9","3","3","2","0","0","0","67","3.94"
"CHI","17","30","6","22","2","0","2","543","0","188","0","22.3","0","0","4","6","2","3","2","0","249.7","85.9","0","0","0","4","6","2","4","1","0","0","111","6.53"
"CIN","17","44","9","17","1","0","0","387","0","346","1","22.6","0","0","1","7","5","4","0","0","263.5","126.2","0","0","0","2","3","3","7","1","1","0","115","6.76"
"CLV","17","49","10","18","3","0","3","261","0","343","0","21.3","1","2","1","3","4","4","2","0","185.2","105.5","0","1","2","5","4","4","0","1","0","0","145","8.53"
"DAL","17","46","9","17","7","1","3","395","0","98","0","18.5","1","1","5","4","1","3","2","0","204.8","112.4","0","0","1","7","2","2","5","0","0","0","181","10.65"
"DEN","17","41","15","11","1","1","1","398","1","326","0","24.3","0","0","4","4","4","2","2","1","253.1","136.8","0","0","0","2","4","5","3","1","1","1","114","6.71"
"DET","17","41","6","16","1","1","1","421","0","331","0","23.2","0","2","0","6","3","3","3","0","268.4","88.8","0","0","0","4","3","4","4","1","1","0","99","5.82"
"GB","17","45","11","7","2","0","2","783","0","189","0","20.6","0","1","2","6","5","3","0","0","223.7","128.3","0","0","1","3","4","3","4","2","0","0","113","6.65"
"HST","17","46","10","14","1","0","1","613","2","292","0","20.8","0","2","1","6","4","2","2","0","255","96.6","0","0","0","5","3","3","6","0","0","0","127","7.47"
"IND","17","51","8","15","5","1","2","202","0","267","0","24.4","0","1","2","5","1","5","3","0","244.5","124.5","0","0","0","2","5","5","3","1","1","0","140","8.24"
"JAX","17","40","12","16","2","0","0","688","0","297","0","21.8","1","0","2","4","4","5","1","0","256.2","102.7","0","0","1","3","2","6","4","0","1","0","121","7.12"
"KC","17","57","9","8","2","0","1","241","0","380","0","17.3","0","0","4","9","4","0","0","0","197.1","113.4","0","0","0","7","2","8","0","0","0","0","129","7.59"
"MIA","17","56","12","15","4","0","0","441","0","265","0","23","1","0","2","6","3","3","0","2","243.1","97.1","0","0","1","5","3","3","2","2","1","0","147","8.65"
"MIN","17","43","12","11","2","0","1","477","0","289","0","21.3","1","0","4","3","3","6","0","0","252.2","98.8","0","0","0","4","6","2","2","3","0","0","125","7.35"
"NE","17","36","8","10","0","1","1","471","1","208","0","21.5","0","1","3","3","7","2","1","0","223","93.2","0","0","1","7","4","2","3","0","0","0","97","5.71"
"NO","17","34","11","18","2","0","0","466","0","392","1","19.2","1","2","1","6","4","3","0","0","221.6","119.8","0","0","1","2","4","9","0","1","0","0","141","8.29"
"NYG","17","34","13","18","3","0","1","249","0","320","1","23.9","0","0","4","2","4","5","1","1","244.5","132.5","0","0","0","5","5","1","2","2","1","1","126","7.41"
"NYJ","17","49","10","17","3","3","1","543","0","319","1","20.9","0","2","2","4","3","5","1","0","187.2","123.9","0","0","2","4","4","3","4","0","0","0","151","8.88"
"LV","17","46","9","13","5","1","1","262","0","249","0","19.5","0","2","2","5","5","2","1","0","229.4","118.5","0","0","0","4","7","3","1","2","0","0","144","8.47"
"PHI","17","43","8","9","3","1","1","255","0","418","0","25.2","0","0","1","6","3","5","2","0","267.7","103.4","0","0","1","4","2","3","3","3","1","0","95","5.59"
"PIT","17","47","11","16","2","1","3","565","0","257","0","19.1","0","0","5","5","4","3","0","0","244.9","114.8","0","0","0","4","1","8","3","1","0","0","140","8.24"
"LA","17","40","5","10","0","2","1","145","0","204","0","22.2","0","0","2","7","5","1","2","0","246.8","106.3","0","0","1","0","8","3","3","2","0","0","81","4.76"
"LAC","17","49","12","9","0","0","0","390","0","385","1","23.4","1","1","2","4","5","1","2","1","269.4","112.8","0","0","0","2","6","4","1","2","2","0","113","6.65"
"SF","17","48","6","22","1","1","0","437","0","273","0","17.5","0","1","5","5","3","3","0","0","232.3","89.7","0","0","1","6","2","5","2","1","0","0","141","8.29"
"SEA","17","47","8","11","3","0","1","680","0","265","0","23.6","0","1","1","6","2","5","2","0","250.5","138.4","0","0","0","3","3","2","5","2","2","0","108","6.35"
"TB","17","48","12","13","1","1","0","326","0","234","0","19.1","1","1","2","6","6","0","1","0","268.7","95.3","0","0","0","4","4","2","5","1","1","0","133","7.82"
"TEN","17","45","8","6","1","0","2","372","0","330","0","21.6","0","1","1","6","7","2","0","0","245.9","107.6","0","0","0","3","2","11","1","0","0","0","96","5.65"
"WAS","17","39","11","8","0","0","1","601","0","278","0","30.5","0","0","0","4","1","6","6","0","272.2","126.8","0","0","0","1","2","4","7","3","0","0","52","3.06"